0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
-0.018024,-0.025541,-0.01777,-0.024414,-0.031164,-0.030725,-0.038308,-0.030035,-0.02276,-0.015191,-0.007361,-0.007591,-0.007528,-0.007998,-0.000601,-0.000974,-0.000905,0.006893,0.007341,-1.4e-05,0.000361,0.000548,0.000799,0.001292,0.001174,0.00104,0.001187,-0.00658,0.001276,-0.006854,0.001277,-0.006537,0.001234,0.001204,0.001188,0.008959,0.001186,0.00115,0.008873,0.001138,0.001081,-0.006688,0.000717,0.00105,0.000722,0.000709,0.000723,0.000707,0.000682,0.000695,0.00069,0.000675,0.000602,0.000964,-0.00709,-0.007093,0.000933,-0.00711,0.000526,-0.007234,-0.007633,-4.3e-05,-0.007851,-0.007865,-0.008131,-0.008401,-0.000982,-0.001067,-0.001491,0.013802,0.013433,0.013422,0.020665,0.020601,0.028111,0.035604,0.043401,0.043714,0.043692,0.044122,0.044166
0.036377,0.036922,0.037311,0.024838,0.011005,0.005006,0.004633,-0.007081,-8.5e-05,-0.000369,-0.007267,-0.010393,-0.019293,-0.015419,-0.018343,-0.013031,-0.01203,-0.011014,-0.01502,-0.019802,-0.024655,-0.022125,-0.018859,-0.022272,-0.014004,-0.005967,-0.003972,-0.00332,-0.002835,0.002676,-0.002809,-0.003081,-0.003327,-0.003669,-0.003836,-0.003698,-0.003709,-0.004148,-0.004498,-0.004171,-0.004911,-0.00521,9.2e-05,-0.005291,0.000139,-2.8e-05,0.00016,-4.8e-05,-0.000377,-0.000196,-0.000234,-0.000433,-0.001442,-0.006368,-0.001528,-0.001617,-0.006752,-0.001976,-0.002523,-0.003715,0.000556,-0.000515,-0.002222,-0.00237,0.003593,0.00943,0.015265,0.014175,0.018097,0.017882,0.022846,0.022901,0.027915,0.027108,0.026901,0.027271,0.021154,0.015533,0.015324,0.010386,0.012576
-0.019065,-0.017616,-0.017761,-0.010588,-0.00538,-0.001968,-0.001811,0.004806,0.001822,0.000815,0.002577,-0.001352,-0.00152,-0.007769,-0.01206,-0.016823,-0.015638,-0.014931,-0.009079,-0.003444,0.001558,0.004916,0.009329,0.016344,0.015918,0.015151,0.01778,0.019229,0.019188,0.015537,0.019095,0.019244,0.018267,0.017787,0.017504,0.017031,0.01754,0.01696,0.015885,0.016832,0.015892,0.016074,0.011027,0.015321,0.011034,0.010798,0.010996,0.010731,0.010307,0.010499,0.010426,0.01018,0.008971,0.01382,0.009417,0.009298,0.01333,0.008841,0.007646,0.006818,0.001197,-0.000589,-0.002017,-0.002193,-0.005857,-0.009668,-0.01401,-0.015274,-0.021302,-0.022637,-0.027483,-0.027432,-0.032774,-0.033768,-0.034711,-0.034941,-0.032317,-0.028563,-0.02897,-0.024431,-0.022021
-0.265026,0.054803,-5.265075,-5.116841,0.114681,-0.402716,0.065149,0.092919,0.126532,0.112229,0.145928,0.387611,0.18273,0.392709,5.182375,1.637702,0.134369,4.840328,-0.053157,-0.065977,-0.074786,-0.00614,0.074582,0.031356,-0.062642,0.032921,0.247431,0.145602,0.124435,0.157051,0.129511,0.121918,0.01086,0.239054,0.127299,0.29176,0.039389,-0.063791,-0.030513,-0.069343,-0.082307,-0.072419,-0.04634,-0.068996,-0.032642,-0.032721,-0.044941,-0.032801,-0.034598,-0.032854,-0.032856,-0.032871,-0.034634,-0.06929,-0.036681,-0.036696,0.078981,-0.038266,-0.047659,-0.026196,0.057234,0.104936,0.268135,-0.022891,1.392381,1.430927,0.23154,0.123333,1.259416,0.151387,-0.083037,0.085706,1.733928,4.807417,4.594545,1.399398,0.229914,-0.15725,-0.177693,-0.067052,0.033189
0.042049,-0.096941,-0.876887,-1.305748,0.198207,-0.420305,-0.261015,-0.571817,-2.604098,-0.677854,-0.91092,0.804341,-0.562998,1.296967,1.383849,0.115403,0.044215,1.502266,0.043621,-0.046375,-0.051688,-0.230829,-0.43407,-0.500279,-1.321481,-0.436431,-1.022583,-0.658996,-0.609477,-0.494187,-0.498867,-0.452516,-0.263913,-0.649048,-0.378923,-0.642593,-0.295879,-0.036208,-0.087396,-0.004149,0.107071,0.023556,0.09458,-0.005878,-0.016947,-0.016935,0.079558,-0.016895,-0.002915,-0.016855,-0.016811,-0.016801,-0.002897,-0.005748,0.012336,0.01235,-0.258648,0.014789,0.024947,-0.005822,-0.105378,-0.203027,-0.460639,0.04939,1.714437,1.680757,0.119381,0.298507,0.517153,0.388477,0.697624,0.542941,1.447187,1.674989,1.917733,1.464202,1.479314,1.377739,1.396759,1.052523,0.428795
0.520487,1.002004,-0.189855,-0.397255,-0.362948,0.28692,0.362939,0.136133,2.397915,0.426027,0.511135,-1.666293,-0.116454,-2.122359,1.693528,0.23497,-0.044999,2.280867,-0.024691,0.032341,-0.174265,-0.265124,-0.397102,-0.345696,0.373899,0.152645,0.057832,0.06058,0.129376,-0.079109,-0.069174,-0.081901,0.074154,-0.146607,-0.18382,-0.324765,0.070145,-0.004465,-0.027257,0.01653,-0.181821,-0.039218,-0.165247,0.014639,0.032531,0.032459,-0.141091,0.0324,0.007211,0.032383,0.032382,0.032395,0.007181,0.014389,-0.022062,-0.022037,-0.156544,-0.020954,-0.013681,-0.070071,-0.102617,-0.118472,-0.320069,-0.047024,-1.72902,-1.681999,-0.098157,-0.135964,0.931234,-0.222949,0.144421,0.122006,0.370378,3.34112,3.088199,1.049172,0.275438,-0.000225,-0.037414,-0.042284,0.048937
1e-06,-6.9e-05,-9.6e-05,-8.8e-05,0.007845,3e-05,2.6e-05,2.2e-05,-1e-06,-1e-06,-6.7e-05,1e-06,0.0,1e-06,-1e-06,1e-06,5e-06,2.7e-05,3e-06,0.0,-2.7e-05,2.1e-05,0.0,3e-06,4.3e-05,5.1e-05,0.0,-3e-06,-1.6e-05,1.7e-05,3e-06,-6.2e-05,1e-06,-0.0,-1e-06,-2.8e-05,-1e-06,-2e-06,-2e-06,-2e-06,-2e-06,-2e-06,-2e-06,-2e-06,-3e-06,-1e-06,-1e-06,-1e-06,-1e-06,-2e-06,-2e-06,-2e-06,-1e-06,-1e-06,-1e-06,-2e-06,-2e-06,-2e-06,-1e-06,-1e-06,-2e-06,1e-06,1e-06,2e-06,2e-06,3e-06,2e-06,-5.6e-05,-5.1e-05,-7.8e-05,-0.000145,-0.000171,-0.000227,-0.000362,-0.00045,-0.000522,-0.000594,-0.00061,-0.000677,-0.000815,0.006913
0.010592,0.010013,0.004449,0.009876,0.004286,0.005559,0.000197,0.000187,-1e-05,1e-06,-0.000548,0.0,1e-06,4e-06,-1e-06,-1e-06,2.6e-05,0.000224,1.7e-05,8e-06,-0.000235,0.000164,-2e-06,1.5e-05,0.00036,0.000424,1e-06,-1.8e-05,-0.000142,0.00014,3.6e-05,-0.000533,3e-06,2e-06,1e-06,-0.000229,3e-06,2e-06,1e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,1e-06,1e-06,1e-06,-0.0,-0.0,-4e-06,-2e-06,-1e-06,-1e-06,-1e-06,-1e-06,1e-06,0.004886,-0.000445,-0.000684,-0.001235,-0.001473,0.003428,0.007659,0.012261,0.006331,0.011069,0.010924,0.010303,0.014592,0.007419
-0.008891,-0.009634,-0.005529,-0.00981,-0.005707,-0.004111,0.000251,0.000239,-1.2e-05,-1e-06,-0.000703,1e-06,0.0,4e-06,-2e-06,-6e-06,2.8e-05,0.000286,1.8e-05,8e-06,-0.000305,0.000209,-6e-06,1.8e-05,0.00046,0.00054,-1e-06,-2.4e-05,-0.00018,0.000178,4.7e-05,-0.000683,2e-06,2e-06,1e-06,-0.000291,6e-06,6e-06,4e-06,3e-06,3e-06,3e-06,3e-06,3e-06,2e-06,2e-06,2e-06,2e-06,2e-06,2e-06,4e-06,4e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,3e-06,-4e-06,-4e-06,-3e-06,-3e-06,-3e-06,-3e-06,-0.0,-0.004971,-0.000567,-0.000872,-0.001576,-0.001886,-0.006843,-0.012671,-0.018027,-0.014406,-0.019614,-0.019837,-0.02065,-0.026506,-0.024576
0.06595,0.066002,0.030462,0.083762,0.036916,0.035994,0.000712,3.2e-05,1.5e-05,1.6e-05,-0.000788,7e-06,1e-06,1e-06,-0.00554,6.1e-05,-2e-06,0.000127,-1.4e-05,-1.3e-05,-9e-06,-1.1e-05,-1.1e-05,-1e-05,0.000207,-1.2e-05,-1.3e-05,-1.4e-05,-1.7e-05,-1.6e-05,-1.4e-05,-7e-06,-1.2e-05,-1e-05,-9e-06,-1.2e-05,-1.2e-05,-1.1e-05,-8e-06,-7e-06,-7e-06,-7e-06,-7e-06,-0.005556,-9e-06,-7e-06,-7e-06,-7e-06,-7e-06,-8e-06,-8e-06,-8e-06,-8e-06,-8e-06,-8e-06,-7e-06,-7e-06,-7e-06,-9e-06,-9e-06,1e-06,0.0,-3e-06,-3e-06,-3e-06,-5e-06,0.000153,0.035747,0.000251,0.000328,0.000236,0.000199,0.03575,0.062445,0.104768,0.063242,0.106362,0.601505,1.470749,0.035111,0.09893
