0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
0.0056,0.005479,0.005322,0.006588,0.004977,0.004744,0.005181,0.005113,0.005156,0.010718,0.012375,0.012159,0.006547,0.011486,0.006101,0.010774,0.010167,0.004745,0.004515,-0.002262,-0.000736,-0.002585,-0.002608,-0.002059,-0.006484,-0.001941,-0.000639,0.004406,0.000756,0.000284,-0.000196,-0.000194,-0.000378,7.5e-05,3.4e-05,-0.001207,-0.000572,-0.005865,0.00041,0.001331,-0.004878,-0.003519,0.000259,-0.005083,-0.010798,-0.005139
0.001061,0.001438,0.001908,-0.003462,0.002891,0.003543,0.002311,0.002505,0.002371,0.003578,-0.002778,-0.002136,-0.003227,-0.000255,-0.001985,0.001675,0.003278,0.001644,0.002232,0.006,0.00016,0.006907,0.006955,0.005525,-0.000432,0.005381,-6.6e-05,0.002404,-0.005605,-0.004337,-0.003055,-0.00306,-0.00257,-0.00379,-0.003679,0.001457,-0.000249,-0.000186,-0.001122,-0.003609,-0.001114,-0.006589,0.001066,-0.000596,-0.001248,-0.000457
0.000235,0.000365,0.000598,0.004742,0.001079,0.001396,0.000794,0.000903,0.000824,0.001083,0.004754,0.005073,0.004868,0.006002,0.005487,0.006958,0.007736,0.007256,0.007542,0.002874,0.006837,0.003303,0.003285,0.002615,0.006808,0.002447,0.006669,0.007536,0.010786,0.011379,0.011967,0.011967,0.012188,0.011638,0.011688,0.007313,0.006548,0.00015,-0.000495,-0.001598,-0.006918,-0.002694,-0.006199,-0.006696,-0.006735,-0.006626
-4.397254,0.397263,0.279366,0.318501,0.3907,0.460872,0.143816,-3.785799,0.181518,0.124621,0.38478,0.126068,0.093094,0.355261,-0.049566,0.226861,0.537486,-0.56421,0.231954,-1.485376,0.340781,-0.030522,-1.68447,0.100069,0.021814,-2.458862,0.0472,-0.049936,-0.094818,0.158855,0.239612,0.043631,-0.073511,-0.061928,-0.082373,-0.052158,-0.036697,-0.511221,-0.013536,0.008536,0.043529,-0.035573,0.03837,0.174908,-0.348684,0.001077
-1.809359,-1.185218,-0.779413,-1.010261,-1.017813,-1.057798,-0.427538,-1.18484,-0.475215,-0.990331,-0.857112,-0.42878,-0.585953,-0.849412,-0.278076,-0.607052,-0.977456,-0.91712,-0.590656,-2.261546,-0.91125,-0.232825,-2.356979,-0.192127,-0.247751,-1.656836,-0.085945,-0.025259,-0.082506,-0.244816,-0.307837,-0.124853,-0.021429,-0.02145,-0.001911,-0.008936,-0.009576,-0.197758,0.095462,-0.007241,0.019707,0.063744,0.00216,0.247998,0.326027,0.152539
-2.824514,-0.264615,0.010398,-0.183848,0.096629,-0.130149,0.233789,-3.609682,0.203478,-0.415112,-0.031635,0.246164,0.230846,0.25037,0.179861,0.390285,0.166335,-0.919529,0.019225,1.405989,0.126327,0.250386,0.885338,0.141869,0.140711,-4.618337,-0.05388,0.059521,-0.017354,-0.143262,-0.203743,-0.101761,-0.001074,-0.033715,-0.022418,0.032299,0.004072,-1.586073,-0.173152,-0.001662,-0.028087,-0.025956,0.037864,-0.089603,0.406911,0.177272
0.000102,0.001098,0.00102,0.006106,0.000905,0.000466,-3.5e-05,-0.000179,-0.00056,-0.000238,-7e-06,1.1e-05,-1e-06,-3e-05,-0.0,-9.1e-05,-0.000309,0.005172,0.005351,-1e-06,2e-06,-1e-05,-0.0,-2e-06,-0.000218,0.005004,-4.8e-05,0.005178,0.000221,-1e-06,-6.2e-05,9.6e-05,0.005173,-9.7e-05,0.005067,0.005179,0.005178,-3e-06,-4e-06,0.005175,0.005305,3.3e-05,-9.8e-05,0.005126,0.005289,-0.000152
-0.002899,0.002795,0.002597,0.000716,0.002299,0.001186,-8.6e-05,-0.000452,-0.001424,-0.000609,-2.1e-05,2.6e-05,1.2e-05,-6.8e-05,4e-06,-0.000226,-0.000782,-0.001659,-0.001198,-2e-06,2e-06,-2.5e-05,7e-06,-3e-06,-0.000552,-0.00209,-0.000129,-0.001649,0.000568,-5e-06,-0.000162,0.000243,-0.001662,-0.00025,-0.001938,-0.001648,-0.001644,6e-06,5e-06,-0.001648,-0.001318,9.1e-05,-0.000247,-0.001784,-0.001363,-0.00039
0.00536,0.001019,0.000944,-0.00014,0.000831,0.000427,-3.1e-05,-0.000164,-0.000516,-0.00022,-7e-06,1.1e-05,6e-06,-2.4e-05,1e-06,-8.1e-05,-0.000284,-0.001002,-0.000835,-3e-06,-2e-06,-1e-05,2e-06,-2e-06,-0.000199,-0.001156,-4.8e-05,-0.000997,0.000205,-4e-06,-6e-05,8.7e-05,-0.001001,-9.1e-05,-0.0011,-0.000996,-0.000993,1e-06,-0.0,-0.000997,-0.000875,3.1e-05,-9e-05,-0.001043,-0.000892,-0.000143
-0.032708,-0.006939,0.00026,0.000982,0.000362,3e-05,1.4e-05,8e-06,-0.000661,1e-05,9e-06,1.1e-05,-2.1e-05,-8e-06,-4e-06,3e-06,-0.000668,0.000983,0.00098,-1e-06,2e-06,-8e-06,-1.1e-05,-0.00038,-4.5e-05,0.000995,3e-06,0.000987,1.3e-05,8e-06,0.0,-1e-06,0.000985,7e-06,0.000982,0.000986,0.000986,-7e-06,-1.6e-05,0.000968,0.000974,-0.0,-1e-05,0.000974,0.000984,-0.007492
0.00809,-0.022251,-0.01414,-0.014826,-0.000314,-1.2e-05,1e-06,1.6e-05,0.013298,-6e-06,1e-05,1.6e-05,-1.7e-05,9e-06,-1.2e-05,1e-06,0.013288,-0.014716,-0.014726,-2e-06,2e-06,-1.3e-05,-2.1e-05,0.000351,5e-05,-0.014723,-3e-06,-0.01473,7e-06,7e-06,7e-06,-1.1e-05,-0.014727,1.2e-05,-0.014707,-0.014712,-0.014729,-1.1e-05,-1.9e-05,-0.014733,-0.014704,-4e-06,-3e-06,-0.014709,-0.014705,-0.008971
0.011306,0.024796,0.025151,0.029443,0.000269,-3.1e-05,-2.3e-05,-1.8e-05,-0.025562,2e-06,3e-06,7e-06,-9e-06,4e-06,4e-06,9e-06,-0.025565,0.029552,0.029551,-4e-06,-2e-06,-1e-05,-1e-05,-0.000375,-6e-05,0.029555,-6e-06,0.029548,1.1e-05,6e-06,-3e-06,-8e-06,0.029548,1e-06,0.029546,0.029552,0.029542,-2e-06,-6e-06,0.029553,0.029555,9e-06,4e-06,0.029549,0.02956,-0.000723
