0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0.001652,0.006146,0.001933,0.001584,0.006644,0.001129,0.001037,0.000808,0.005617,2e-06,0.006898,0.006589,0.006234,0.00616,0.007234,0.01088,0.006523,0.005481,0.004966,0.003714,0.003923,0.002662,0.002699,-0.002327,-0.001555,-0.005865,0.000466,0.0012,0.00152,0.000708,0.000666,0.000908,-0.004438,-0.00403,-0.005315,-0.005738,-0.0069,-0.012475,-0.007834,-0.013992,-0.012333,-0.01214,-0.013322,-0.014434,-0.009736,-0.014138,-0.008575,-0.008276
-0.004435,-0.000174,-0.006956,-0.006024,-0.003272,-0.004809,-0.004567,-0.003966,-0.000554,-0.001834,-0.005747,-0.004937,-0.004006,-0.003813,-0.008455,-0.000209,-0.006619,-0.002095,-0.000748,0.004259,0.003712,0.008754,0.008629,0.005917,0.00395,-0.000531,-0.001195,-0.003068,-0.003893,-0.001815,-0.001703,-0.002333,-0.004229,-0.005292,-0.000148,0.000939,0.006162,0.004504,0.008307,0.010433,0.004243,0.003933,0.008781,0.011856,0.015554,0.009455,0.010716,0.009903
-0.002242,-0.000443,0.003339,0.003825,0.004868,0.004444,0.004567,0.004871,0.006239,0.00595,0.010518,0.010932,0.011403,0.011505,0.016086,0.012967,0.017003,0.012373,0.013002,0.008589,0.008316,0.003866,0.003805,0.002806,0.001865,3.5e-05,-0.000577,-0.001441,-0.001834,-0.000857,-0.000805,-0.001105,-0.001714,-0.002219,-0.006589,-0.006066,-0.010531,-0.010862,-0.009312,-0.014789,-0.010952,-0.011169,-0.015482,-0.013988,-0.012475,-0.008325,-0.008009,-0.0084
0.531571,0.421709,-0.319024,0.054283,-0.178194,-0.010415,-0.001635,0.33682,0.435864,0.219158,-0.11154,0.068404,0.141842,0.101411,0.232897,-0.121867,-1.923531,0.074396,-2.506195,-0.208871,-0.026263,-1.899544,-0.156618,0.006219,0.003875,-0.008922,-1.893985,0.00229,-0.001692,-0.010775,-0.003489,-0.000619,-0.173801,0.004946,-0.093624,-0.003558,3.023352,-0.373102,-0.247628,1.521745,1.384451,3.340162,-0.333936,1.459232,-0.006156,-0.332125,-0.166298,0.0636
-1.347602,-0.955901,-1.12083,-0.72317,-0.349454,-0.119354,-0.206534,-0.587804,-0.738924,-0.431872,-0.263275,-0.17893,-0.452754,-0.399809,-0.547177,-0.534651,-2.191261,-0.339515,-1.80616,-0.104298,-0.124495,-2.076935,-0.322322,-0.008719,-0.011448,0.022707,-1.979313,0.018114,0.014066,0.0108,0.087615,0.001166,0.202066,0.021925,0.159277,0.075843,1.922662,0.677046,0.431146,2.155097,2.486899,2.704424,1.021218,3.23431,0.904,1.2844,0.637368,0.669862
-0.305104,0.131031,-1.530401,-0.241039,0.030262,0.139049,0.317063,-0.166612,-0.190538,-0.032819,-0.402919,-0.130061,0.204302,0.238482,-0.098698,0.330094,0.476,0.268803,-1.050777,-0.235701,0.210506,0.488981,0.279976,0.026954,0.026939,-0.025603,0.220815,-0.024818,-0.024709,0.00329,-0.187603,0.00092,0.075912,-0.050901,0.054846,0.209572,5.355036,0.703047,0.831823,0.180211,-0.135261,4.261786,-0.639565,-1.275185,-0.309397,0.103597,-0.492368,0.14759
-0.000159,0.005968,3e-06,-1e-06,-1.2e-05,1e-06,1e-06,5e-06,-0.0,-1e-06,-0.000262,-6e-06,4e-06,0.00047,1e-06,-2e-06,-0.0,-1e-06,-1e-06,0.005969,0.000486,0.005968,0.005969,7e-06,-9.3e-05,8e-06,-2e-06,-0.0,2e-06,3e-06,1.5e-05,1e-06,-5e-06,0.006187,0.005968,0.006163,0.000277,0.00047,0.000589,0.000937,0.000822,0.00086,0.00091,0.000343,0.001096,0.001092,0.000967,0.000978
-0.000448,-0.001594,1.3e-05,6e-06,-2.6e-05,2e-06,-1e-06,1.1e-05,8e-06,5e-06,-0.000733,-1.6e-05,1.5e-05,0.00484,7e-06,3e-06,3e-06,1e-06,1e-06,-0.001588,0.004887,-0.001586,-0.001584,2.4e-05,-0.00027,2.3e-05,-7e-06,-6e-06,-3e-06,-2e-06,3.5e-05,2e-06,-1.5e-05,-0.000964,-0.001581,-0.001034,0.000788,0.001341,0.001685,0.002678,0.002352,0.002462,0.002609,-0.00252,0.003142,0.003135,0.002775,0.002807
-0.000233,-0.000992,7e-06,4e-06,-1.1e-05,1e-06,-0.0,6e-06,5e-06,2e-06,-0.000382,-8e-06,8e-06,-0.004892,2e-06,2e-06,1e-06,1e-06,0.0,-0.00099,-0.004869,-0.000989,-0.00099,1.2e-05,-0.000144,1.2e-05,-4e-06,-4e-06,-3e-06,-2e-06,1.7e-05,2e-06,-9e-06,-0.000667,-0.000986,-0.000701,0.000408,0.000697,0.000873,0.001383,0.001215,0.001267,0.001341,0.006083,0.001608,0.0016,0.001415,0.001427
-1.6e-05,0.000977,-1.7e-05,-0.000163,-6.4e-05,-4.6e-05,-2.9e-05,-3e-05,-4.1e-05,-5.5e-05,-2.2e-05,-3e-06,-2.7e-05,0.034498,-6e-06,-1.1e-05,-0.00038,-7e-05,-8.8e-05,0.000911,0.034438,0.000911,0.000909,-5e-05,-4.8e-05,-0.001111,-8.2e-05,-0.009004,-9.6e-05,-8.3e-05,-6.1e-05,-4.9e-05,-3.3e-05,0.000925,0.00094,0.000954,-1e-05,-8e-06,-1.9e-05,0.000625,-0.00017,-4.7e-05,-4.3e-05,-0.03454,0.00088,0.001252,-2.9e-05,-3.6e-05
