0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0.000156,0.000227,-1e-05,-0.001153,-1e-06,0.0,-5.9e-05,2e-06,1e-06,2.6e-05,0.000104,-1e-06,0.0,0.001074,0.0,-0.006237,-0.017493,-0.018282,-0.032472,-0.039377,-0.027273,-0.034692,-0.027964,-0.022189,-0.015508,-0.003602,0.001196,0.018643,0.018283,0.032105,0.033725,0.033772,0.039319,0.033318,0.040152,0.033553,0.028661,0.026023,0.022271,0.011238,0.004186
-0.000737,-0.000869,3.4e-05,0.005907,7e-06,2e-06,0.000238,-3e-06,-1e-06,-0.000101,-0.000399,9e-06,-1e-06,-0.005593,-1e-05,-0.002566,-0.014011,-0.009117,-0.006616,-0.006962,0.001385,0.005187,0.005934,0.012195,0.013291,0.022609,0.033159,0.047228,0.048216,0.043049,0.030582,0.028292,0.029853,0.022546,0.019694,0.016408,0.007569,-0.008049,-0.01934,-0.02678,-0.023847
-0.000629,-0.000731,2.6e-05,-0.003658,9e-06,4e-06,0.000201,-3e-06,-4e-06,-8.7e-05,-0.000336,1e-05,-0.0,0.003922,-9e-06,-0.001225,-0.000356,-0.00501,-0.00967,-0.00907,-0.012505,-0.017106,-0.017408,-0.021658,-0.021614,-0.024032,-0.024427,-0.023491,-0.022549,-0.011383,0.003612,0.010141,0.018846,0.030172,0.03509,0.041143,0.04273,0.039282,0.039511,0.035539,0.030588
0.8714,0.000153,0.000133,0.036196,7.6e-05,-0.01324,0.000307,0.000142,7.7e-05,5.3e-05,4.9e-05,-1.5e-05,-8.1e-05,-0.036713,-0.158076,-0.484994,-0.713018,-6.331397,-4.742744,-0.028741,0.173266,-3.767701,-0.333997,0.11802,-4.747414,-0.259675,-1.406579,-0.881597,0.148789,-4.662868,-1.224352,-0.096542,0.240403,-0.116329,-0.443694,-0.143996,-0.010897,-0.032186,-0.091485,0.023138,0.023581
 1.80112000,-0.00014200, 0.00001700,-0.00495600,-0.00001200, 0.09261000,-0.00050700,-0.00005000, 0.00000300, 0.00000000, 0.00001700,-0.00067000,-0.00004200, 0.00335800, 0.31208900, 0.04618100, 0.08106400,-0.98869500,-0.62091000, 0.21390600,-0.40589400, 1.17982900, 0.18663800, 0.08290700,-0.20041100, 0.10920000,-0.06998100, 0.13835800,-0.07611600,-0.20310300,-0.33358700,-0.56060900,-0.43492700,-0.01308800,-0.04587400, 0.05992000,-0.39346900,-0.33362200,-0.12313800,-0.50827700,-0.43065500
-1.905763,0.000196,3.6e-05,0.021137,2.9e-05,-0.177083,-0.000324,-2.6e-05,3.5e-05,2.6e-05,7e-06,-0.00021,-5e-06,-0.019334,0.225937,-0.249975,-0.300511,-3.755107,-3.117359,-0.363363,-0.734634,-4.806957,-0.550941,-0.090679,-2.862276,-0.360137,-0.859718,-1.646437,-0.028319,-2.497452,-1.172461,-0.63954,-0.355772,-0.413382,-0.649944,-0.050551,-0.272862,-0.588967,-0.575078,-1.148598,-1.070861
-0.000167,6.2e-05,-0.00048,0.00029,-0.00036,-0.000564,-0.000791,0.006196,0.007161,0.00669,0.000552,0.001003,0.000181,0.012882,0.020218,0.021418,0.037007,0.037692,0.045806,0.053994,0.053901,0.060142,0.052792,0.046271,0.03894,0.032525,0.010936,0.009268,0.008659,0.000719,-0.007176,-0.007562,-0.013883,-0.014036,-0.006842,-0.013457,-0.012408,0.00063,-0.005449,-0.005024,-0.00547
-0.000429,0.000165,-0.004964,0.000759,-0.004647,-0.005176,-0.00577,-0.007131,-0.000893,-0.005868,0.00146,0.002655,0.000485,-0.005589,-0.002272,0.000992,0.006828,0.008993,0.011775,0.019273,0.019799,0.018268,0.015772,0.019601,0.011916,0.01956,0.014902,0.008734,0.006505,0.002816,-0.000677,-0.002157,0.004412,2.3e-05,0.004639,0.002222,0.009943,0.002312,0.00959,0.011095,0.005658
-0.000376,0.000146,0.00472,0.00067,0.004999,0.004537,0.004013,0.00323,-0.000378,0.004335,0.001278,0.002328,0.000423,-0.004123,-0.009916,-0.007091,-0.010365,-0.008522,-0.005912,-0.008371,-0.008062,-0.009402,-0.003135,-0.000388,0.01052,0.007624,0.011953,0.006988,0.005178,0.002208,-0.000623,-0.001784,-0.005295,-0.000184,-0.005054,0.001537,-0.000961,0.001833,-0.001141,2.9e-05,0.004315
0.00016,0.000116,-0.034132,6.5e-05,-0.015433,0.077491,-0.016537,-0.037285,-0.001348,-0.014607,-0.004124,0.066797,-0.007187,0.045981,0.197092,0.242215,0.301156,0.236425,0.106265,0.227305,0.374973,0.028196,0.472879,-0.643292,-0.755914,-0.716001,-3.294262,-0.906519,-3.039387,-0.277625,-0.258219,-0.258991,-0.21878,-0.958535,-3.021891,-0.274883,-0.756822,0.300086,-0.489164,3.32108,3.668844
