0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
0.020859,0.020835,0.020679,0.020203,0.020184,0.020193,0.020295,0.019828,0.013514,0.006124,0.005982,-0.008226,-0.008774,-0.001305,-0.001301,-0.007408,-0.000648,-6.9e-05,3.3e-05,4e-05,5.3e-05,8.7e-05,9e-05,8.7e-05,0.000101,7.9e-05,7.3e-05,7.6e-05,5.6e-05,3.6e-05,-6e-06,0.006662,-4e-06,0.0,2e-06,-0.0,1e-06,3e-06,8e-06,2.4e-05,5.2e-05,4.9e-05,4.4e-05,4.5e-05,0.006749,-1e-06,0.0,1e-06,3e-06,3e-06,1e-06,1e-06,-2e-05,-6e-06,3e-06,-0.0,1e-06,3.9e-05,-0.0005,-0.000459,-0.000465,-0.000472,5.6e-05,7e-06,-4e-06,-4.5e-05,-2.1e-05,-5e-06,2.2e-05,2.5e-05,5.3e-05,2e-06,-2.8e-05,-3.9e-05,-1.8e-05,2e-06,1.1e-05,3e-05,-2e-06,-3e-06,4.3e-05,0.00063,0.000749,0.000812,0.000735,0.001362,0.002054,-0.004002,-0.004116,-0.004599,-0.005357,-0.005435,-0.005936,-0.007013,-0.01349,-0.0135,-0.007077,-0.014593,-0.014579,-0.01507,-0.015097,-0.015631,-0.008071,-0.009102,-0.0036,0.002599,0.00256,0.009941,0.016837,0.017827,0.025239,0.026715,0.026426,0.020789,0.022372,0.022915,0.016869,0.017683,0.01803,0.011396,0.010992
0.001629,0.001459,0.00287,0.008129,0.00659,0.005676,0.002531,0.006319,0.000712,0.008094,0.010588,0.017962,0.02369,0.015222,0.015326,0.008487,0.007668,0.001402,-0.000668,-0.000775,-0.001049,-0.00174,-0.001775,-0.001713,-0.001998,-0.00158,-0.001477,-0.00154,-0.001144,-0.000697,0.000126,0.001311,7.4e-05,-1.3e-05,-4.4e-05,5e-06,5e-06,-4.2e-05,-0.000133,-0.000459,-0.001027,-0.000969,-0.000862,-0.000877,-0.000312,2.7e-05,2.5e-05,1.2e-05,4e-06,2e-06,1e-05,1e-06,0.000394,0.000108,-7.3e-05,-5e-06,4e-06,-0.000726,0.004559,0.003771,0.003893,0.004075,-0.001055,-8.2e-05,0.000138,0.000922,0.000412,8.2e-05,-0.000463,-0.000481,-0.001068,-1.9e-05,0.000572,0.000787,0.000371,-2e-05,-0.000213,-0.000573,2e-05,6e-06,-0.000895,-0.00729,-0.009681,-0.00963,-0.009553,-0.016921,-0.025911,-0.033757,-0.034565,-0.028883,-0.022586,-0.021147,-0.014211,-0.003485,-0.011848,-0.012379,-0.006918,-0.003071,-0.004576,-0.002313,-0.005453,-0.003256,-0.012775,-0.009927,0.020898,0.040176,0.045067,0.053044,0.059637,0.052436,0.049056,0.0299,0.031769,0.014931,-0.005061,-0.011453,-0.022038,-0.031539,-0.036136,-0.038794,-0.035394
0.00847,0.008299,0.009531,0.005132,0.003771,0.002962,0.000235,-0.005319,-0.000657,-0.002504,-0.000359,-0.001531,-0.005397,-0.004506,-0.004416,-0.000881,-0.002203,0.001177,-0.000559,-0.00065,-0.000882,-0.001463,-0.001494,-0.001444,-0.001685,-0.001335,-0.001249,-0.001303,-0.00097,-0.000592,0.000105,0.000475,6e-05,-1.2e-05,-4e-05,4e-06,5e-06,-3.4e-05,-0.000113,-0.000388,-0.00087,-0.000821,-0.000732,-0.000745,-0.000904,2.4e-05,2.2e-05,1.2e-05,5e-06,4e-06,1e-05,1e-06,0.000334,9.3e-05,-6.1e-05,-5e-06,4e-06,-0.000615,-0.004825,-0.005496,-0.005394,-0.005238,-0.0009,-7e-05,0.000121,0.000787,0.000352,7e-05,-0.000396,-0.00041,-0.000911,-1.6e-05,0.000491,0.000671,0.000318,-1.5e-05,-0.000181,-0.000486,2.1e-05,1e-05,-0.000759,0.002501,0.000439,0.000224,0.000567,0.002998,0.00403,0.006474,0.005927,0.001828,-0.001474,-0.000216,-0.003153,-0.011619,-0.009456,-0.009985,-0.014894,-0.019954,-0.021432,-0.028767,-0.032057,-0.039739,-0.04059,-0.057811,-0.056655,-0.056913,-0.051724,-0.033767,-0.027292,-0.005308,0.009793,0.027876,0.029438,0.040856,0.048519,0.051342,0.050807,0.050899,0.046702,0.045043,0.039254
-0.598698,-0.329413,-0.405232,0.252411,0.056507,-0.133277,-0.148813,0.005686,-0.325522,-0.200438,-0.224196,-0.075958,0.144014,0.105618,0.073884,0.033541,-0.147855,0.001225,0.01002,-0.092604,-0.138595,-0.086632,0.010158,-0.09084,0.012507,0.002073,-0.000196,-0.002087,-0.051004,0.004756,0.000574,0.001956,0.000239,-5.8e-05,-6.1e-05,0.011914,0.002626,-2.7e-05,-7.1e-05,-7.4e-05,-6.2e-05,0.011393,0.000237,0.011851,0.002349,-7.7e-05,-9.7e-05,-0.0131,0.011317,0.000384,-0.013411,-7.1e-05,-7.6e-05,-7.3e-05,-8e-06,2.1e-05,2.7e-05,-0.312716,0.039376,0.034596,0.034554,0.004195,0.012851,-0.145389,0.001549,0.001943,-3.6e-05,-2.5e-05,-3.5e-05,-2.6e-05,-0.001969,-1.9e-05,-6e-06,-1.5e-05,-2.4e-05,5.1e-05,7.5e-05,6.9e-05,-0.000113,-0.000409,-3e-06,-0.006383,-1.162465,-3.908895,-0.921622,-1.057134,-0.308005,-4.174157,-0.500653,-4.140344,0.007011,-0.085227,-3.948389,-3.982189,0.013496,0.023894,-1.07873,0.077578,0.075536,0.098604,0.109445,0.130957,0.091878,-0.47201,0.120942,-0.374207,0.661006,-1.153689,-1.089093,0.065932,-4.414942,0.226685,0.382273,0.449989,0.334375,0.058244,0.047758,0.102327,0.345144,1.468407,-0.11389
0.866257,0.645118,-0.476163,0.418296,0.119596,0.049437,0.168081,-0.001873,-0.991008,0.303281,0.324585,0.186075,-0.079775,-0.183137,-0.036959,0.004338,0.203923,-0.009366,-0.010458,0.11902,0.175975,0.12698,-0.010716,0.11729,-0.012625,-0.002685,-0.0002,0.015815,0.264442,-0.000904,-0.000833,-0.015269,-0.002098,-9.3e-05,-1.4e-05,-0.011049,-0.002894,-0.000104,-4.5e-05,-3.5e-05,-3.5e-05,-0.011316,-0.000411,-0.011147,-0.015712,-5.9e-05,-3.6e-05,0.107904,-0.010141,-0.000586,0.109893,-5.1e-05,-3.6e-05,-5.3e-05,0.000117,3.9e-05,2e-05,0.423268,-0.013268,0.005662,0.005705,0.049515,-0.012297,0.183937,-0.001869,-0.016063,-4e-06,-1.8e-05,-9e-06,-1.2e-05,0.016016,-2.2e-05,-2.2e-05,-2.2e-05,3e-06,0.0001,3.7e-05,3.5e-05,0.000599,0.001037,0.000693,-0.032309,-1.164607,-3.997524,-1.504096,-1.553746,-0.578648,-3.480776,-0.333657,-3.375665,-0.119122,0.078417,-3.57441,-3.461584,-0.046963,-0.149455,-1.274083,-0.04748,-0.033954,0.063399,-0.027396,0.082793,0.092301,1.278848,0.992,-1.335361,-0.226049,-0.347049,-0.490744,0.273054,-2.450643,-0.492165,-0.416079,-0.653926,-0.833213,-0.231041,-0.197604,-0.559784,-0.259029,-0.321965,-0.275028
0.732275,0.594097,3.2223,0.44926,0.236686,0.428405,0.237089,0.145307,2.755648,0.276575,0.326748,0.178376,0.049513,0.283402,0.059958,-0.011317,0.210395,0.028317,-0.007804,0.086709,0.12841,0.056869,-0.00799,0.085565,-0.009554,-0.001976,-0.00011,-0.023961,-0.416496,0.000363,-0.000579,0.029139,0.003185,4.9e-05,-7.2e-05,-0.00848,-0.002152,-0.000114,-5.8e-05,-5.7e-05,-4.4e-05,-0.008288,-0.000266,-0.008557,0.028914,-0.000102,-8.6e-05,-0.161954,-0.007821,-0.000378,-0.165288,-9.2e-05,-0.000103,-6.2e-05,-2.8e-05,2.4e-05,5.6e-05,0.27324,0.015917,-0.005743,-0.00571,0.025984,-0.009425,0.135587,-0.00085,0.023822,-2.1e-05,-2.6e-05,-5e-06,-2.3e-05,-0.023909,-6e-06,-4.1e-05,-2e-05,-4.8e-05,5.7e-05,9.5e-05,9.8e-05,-2.4e-05,-0.000112,-2.3e-05,-0.049609,-0.538583,-1.539678,-0.805127,-0.860452,-0.233885,-1.495748,-0.120326,-1.643572,-0.040325,-0.108658,-1.721887,-1.549547,0.026055,0.255949,-0.274217,0.071196,0.048711,-0.102115,0.037428,-0.131217,-0.145923,-2.690712,-3.789863,-1.841898,-1.221231,-1.1295,-0.907012,-0.452428,-2.023388,-0.743711,-0.90405,-1.24577,-1.207015,-1.13234,-1.177476,-1.508525,-0.763081,-0.456767,-0.970953
-0.031797,-0.03203,-0.031836,-0.031986,-0.03179,-0.031686,-0.031406,-0.031148,-0.031016,-0.022854,-0.014758,-0.022377,-0.014517,-0.014448,-0.006763,-0.014657,-0.007013,-0.007157,-0.007134,-0.014825,-0.014578,-0.006348,-0.013813,-0.005631,-0.005206,-0.005123,0.002494,0.002459,0.002265,0.00213,0.001815,-0.006114,0.001421,-0.00639,-0.013999,-0.013977,-0.021474,-0.021286,-0.021015,-0.021024,-0.020906,-0.013368,-0.013145,-0.005685,-0.005719,0.00142,0.001373,0.000935,0.007601,-0.000455,0.006736,0.006408,0.006287,0.006208,0.006421,0.006951,0.007406,0.000733,0.001133,0.008671,0.001247,0.001152,0.001057,0.001016,0.000851,-0.00655,-0.006703,-0.006733,-0.006777,0.000493,0.000476,0.007785,0.007576,0.007403,0.007272,0.007244,0.007318,0.014594,0.014416,0.014193,0.014229,0.014132,0.021601,0.021634,0.021706,0.02194,0.029303,0.036886,0.029576,0.029593,0.029717,0.029721,0.022497,0.022401,0.015085,0.007772,0.014986,0.007593,0.007611,0.000178,-7.2e-05,-7.8e-05,-0.007327,-7.2e-05,-0.007382,-0.007396,-0.000143,-0.014588,-0.014556,-0.00725,-0.000107,-0.000256,-0.000314,-0.000416,-0.00042,0.006878,-0.000208,-7.9e-05,-3.7e-05,-3.3e-05,-5.2e-05
-0.013462,-0.006852,-0.016127,-0.00728,-0.002498,-0.000794,0.002945,0.005528,0.006667,0.008593,0.009892,0.011445,0.011068,0.011031,0.009374,0.002849,0.00127,-4.9e-05,-0.010942,-0.010055,-0.008006,-0.009936,-0.007396,-0.009652,-0.006343,-0.005665,-0.011707,-0.001134,-0.002463,0.001804,-0.000703,0.002102,0.011728,0.009872,0.014538,0.00908,0.009389,0.010155,0.011433,0.006135,0.006379,0.006056,0.007153,0.006792,0.006422,0.004295,0.008706,0.005987,0.001103,-0.002916,-0.004552,-0.006799,-0.007725,-0.008323,-0.007049,-0.003597,-0.000546,0.000182,-0.001822,-0.00118,-0.005716,-0.011153,-0.006912,-0.007188,-0.008337,-0.003341,0.000338,0.000106,-0.000251,-0.001323,-0.001443,0.002606,0.001166,0.00477,-0.000955,-0.001301,0.004203,0.003314,0.006928,0.005255,0.005521,0.00551,0.005461,0.005757,0.006488,0.00316,0.003777,0.000433,0.00162,0.002394,-0.00153,0.005324,0.007188,0.007868,0.008804,0.008881,0.008684,0.00688,-0.000279,-0.003931,-0.001382,-0.001532,-0.001347,-0.001419,-0.002223,-0.002409,-0.00269,-0.000864,0.000314,0.000624,0.005128,0.009577,0.008552,0.006748,0.006616,0.006993,0.00331,0.005719,0.00658,0.006674,0.006325
-0.018768,-0.021495,-0.010811,-0.010202,-0.003034,-0.000483,0.005134,0.008953,0.010612,0.013306,0.015039,0.017159,0.016476,0.016197,0.013614,0.016245,0.013887,0.011932,0.020409,0.021587,0.02437,0.033414,0.036719,0.044993,0.048901,0.049477,0.052402,0.042962,0.040829,0.034934,0.031569,0.023924,0.013881,0.01156,0.006302,0.010437,0.010705,0.011468,0.012789,0.01711,0.017234,0.016824,0.017897,0.017537,0.016997,0.014693,0.009315,0.006361,0.001242,-0.003099,-0.004767,-0.007184,-0.008215,-0.008883,-0.007561,-0.003845,-0.000536,0.010328,0.018233,0.018893,0.024006,0.028174,0.022591,0.022274,0.021033,0.01624,0.010142,0.009894,0.009511,0.008443,0.008313,0.002661,0.001202,-0.004924,-0.000941,-0.001317,-0.005513,-0.006404,-0.012531,-0.01425,-0.014013,-0.014097,-0.014152,-0.013898,-0.013179,-0.006753,-0.00631,-3e-05,0.001197,0.001907,0.007626,0.004789,0.006809,0.007378,0.008428,0.008658,0.008196,0.006563,0.009097,0.005712,-0.001359,-0.001502,-0.001117,-0.001393,-0.001983,-0.00217,-0.002653,-0.000442,0.000702,0.000813,-0.004549,-0.009776,-0.010796,-0.012592,-0.012732,-0.012549,-0.006374,-0.003959,-0.003095,-0.003,-0.003347
0.185489,0.239821,0.339672,0.295394,0.183098,0.428903,0.669171,0.107683,0.171381,0.130433,0.041797,0.19184,0.31267,-0.005448,0.257753,0.017473,0.086687,0.189538,0.196096,0.133471,0.269091,0.432323,0.455757,0.360205,0.227801,0.046796,0.034266,-0.084958,0.179189,-0.031117,-0.085302,-0.069057,0.014942,0.002134,0.035241,-0.000526,-0.001543,-0.003115,-0.014154,0.340992,-0.038718,-0.037147,-0.046783,0.104544,0.022846,0.278326,0.158244,0.01823,-0.002357,-0.010218,-0.003643,3.6e-05,0.00428,-4.2e-05,0.00038,0.004669,-0.135754,0.212147,0.43867,0.382471,0.284273,0.124035,0.193615,-0.123791,-0.106057,-0.069727,-0.035313,-0.035287,-0.030538,-0.034517,-0.046495,0.001469,0.00114,0.040875,0.000737,-1.468089,-0.096465,-0.38413,0.037567,-0.175234,-0.06633,-4.493175,-0.144375,-0.852174,-0.339488,-2.996145,-0.224124,-2.98552,0.009958,0.033559,0.154964,0.116382,-2.727292,-0.011679,0.061288,0.006382,-0.000369,0.003903,-0.032733,-0.028526,0.000539,-0.006664,-0.003527,0.527523,0.031778,-0.013773,0.51061,-2.88261,-0.899113,-0.894847,-0.850516,-0.089971,-0.146139,-0.107924,0.07892,-1.475596,0.028295,-0.477973,0.038789,0.003982,-0.184827
