0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
-0.000613,0.000152,0.000169,9.1e-05,-0.000278,-0.000432,-0.000529,0.000516,0.000381,0.000283,0.000354,0.000517,0.000791,0.000703,-0.000395,-0.000315,0.000785,0.00089,0.000994,0.005194,0.000713,0.006197,0.000339,-0.001167,-9.7e-05,-0.000289,0.000528,-0.000247,-0.000153,-0.006452,0.000124,0.000361,0.005912,0.000599,0.000374,0.000163,-0.000801,0.000521,0.000867,0.005596,0.00551,0.000159,0.000105,7.8e-05,0.005529,9.3e-05,0.000281,0.00042,0.000487,0.005849,0.001371,0.000315,0.000395,0.001526,5.4e-05,0.005191,0.005275,0.001063,0.007531,0.006283,0.007389,0.0074,0.008278,0.008271,0.007415,0.007432,0.000848,0.00528,-4e-05,0.001078,2e-06,6e-06,-0.005631,-0.000395,0.000604,0.000676,-0.000533,0.001501,0.001138,0.000732,0.000893,-6.5e-05
0.002822,-0.000728,-0.000791,-0.000414,0.001302,0.002014,0.002445,-0.003388,-0.002769,-0.002326,-0.00265,-0.003408,-0.004665,-0.004256,0.001798,0.001431,-0.004635,-0.005116,-0.005593,0.002045,-0.004297,-0.003551,-0.002579,0.005274,-0.000617,0.00025,-0.004494,5.8e-05,-0.000368,0.003716,-0.001608,-0.002693,-0.002356,-0.003773,-0.00274,-0.001776,0.003627,-0.003412,-0.004985,0.0001,0.000495,-0.000716,-0.000472,-0.000353,0.000449,-0.000424,-0.001266,-0.001867,-0.002162,-0.000906,-0.007137,-0.001398,-0.001738,-0.007805,-0.000235,0.002051,0.00169,-0.00575,-0.010317,-0.003954,-0.00977,-0.009614,-0.014432,-0.014357,-0.009497,-0.009496,-0.004721,0.001889,0.000179,-0.005687,-2.2e-05,-9e-06,-0.000426,0.001662,-0.003655,-0.005197,0.001043,-0.009873,-0.008357,-0.006661,-0.007337,-0.002133
0.001494,-0.000387,-0.00042,-0.00022,0.00069,0.001067,0.00129,0.004828,0.005155,0.005386,0.005214,0.004817,0.004165,0.00438,0.000935,0.000743,0.004188,0.003942,0.003698,0.000681,0.004373,0.004385,0.005269,0.002716,0.006275,0.006719,0.010875,0.006606,0.006386,0.002234,0.005752,0.005206,0.005021,0.004669,0.005185,0.005664,0.0018,0.004852,0.004077,-0.000298,-0.000109,-0.000356,-0.000237,-0.000178,-0.00013,-0.000213,-0.000632,-0.000929,-0.001079,-0.000807,0.003012,-0.000703,-0.000872,0.002675,-0.000116,0.000668,0.000491,0.003715,0.007678,0.004232,0.007954,0.008073,0.012316,0.01237,0.00818,0.008196,0.004289,0.00058,8.3e-05,0.003823,-1.3e-05,-5e-06,0.000146,0.000832,0.004826,0.010738,0.007171,0.015102,0.015858,0.0167,0.016377,0.012245
0.070311,-0.008476,-0.000502,0.016661,-0.008975,0.003872,3.4e-05,-0.03388,-0.036027,-0.033865,-0.033856,-0.033866,-0.010194,-0.050095,-0.002198,0.363203,-0.218127,-0.056925,-0.056872,-0.002588,0.387067,0.098232,-0.035845,0.541903,-0.03714,-0.034057,0.294699,0.240698,-0.04857,-0.008054,-0.033731,-0.036207,-0.040119,-0.04313,-0.043579,0.141665,0.000208,-0.033724,0.017583,0.001878,-0.007006,-0.006624,-0.000793,-0.000167,0.012208,-0.001086,7e-06,0.001292,0.055095,0.001855,0.292024,0.439404,-0.018676,0.548431,0.053044,0.631723,0.175227,-0.030251,0.260144,2.248924,2.473926,0.109891,0.164402,0.108325,0.010624,-0.066013,-0.018681,0.212321,0.136725,0.666892,0.707622,0.217145,-0.001849,0.004793,1.80364,-0.017759,0.230961,0.034496,-0.112304,-0.028136,-0.040245,0.325975
-0.061322,-0.00228,0.001104,-0.005752,0.003478,-0.017714,-1.5e-05,-0.010076,0.008662,-0.010064,-0.010099,-0.010106,-0.02194,0.017199,0.001929,-0.261185,-0.700417,0.000215,0.015265,-0.012114,-0.323143,-0.120529,-0.008897,-0.405495,-0.007967,-0.009565,-0.288673,-0.11553,-0.003306,0.018732,-0.009755,0.006736,-0.005506,0.010218,0.010488,0.260902,-0.000622,-0.010721,0.083747,-0.015892,-0.010879,-0.002195,-0.000699,-0.000546,0.043912,-0.00047,-0.001701,-0.001265,0.076154,-0.015971,-0.142411,-0.334058,0.02318,-0.297825,0.075987,0.832416,0.245341,-0.101135,-0.1544,2.544974,2.295923,-0.259653,0.400829,0.080047,0.218632,0.011923,0.018236,0.20464,0.264065,0.741416,0.73361,0.210286,0.009909,-0.017213,2.691296,0.054054,0.039144,-0.117179,-0.115545,-0.090048,0.198925,-0.364971
-0.055519,-0.007543,0.001378,-0.000261,0.047391,0.022727,-1.2e-05,0.00329,-0.020869,0.003281,0.003285,0.003293,-0.051685,-0.019708,0.000604,-0.210906,0.575607,0.006395,-0.018022,0.031439,-0.239884,-0.087314,0.005284,-0.267122,0.004794,0.004063,-0.19648,-0.326622,0.005368,-0.027318,0.003912,-0.019644,0.010735,-0.018289,-0.018202,0.389958,0.000422,0.003524,0.096589,0.0288,0.030509,0.004196,0.000826,0.000452,-0.015001,0.001004,0.000702,0.003312,0.116622,0.028984,-0.201042,-0.241152,-0.021896,-0.215153,0.118472,1.345868,0.419676,0.158455,-0.062414,4.217741,4.090126,0.048637,0.216684,0.067585,-0.132527,0.029872,0.015481,0.441504,-0.031852,1.309584,1.3294,0.398233,-0.031069,0.024359,-0.63748,0.106447,-0.261099,-0.126697,0.164305,-0.065392,-0.159456,-0.246954
0.003452,-0.002437,0.003937,0.002935,-0.002962,-0.003075,-0.003256,-0.002989,-0.002862,-0.003499,-0.007805,-0.002666,-0.00101,-0.001056,-0.000436,6.8e-05,0.000195,2e-06,-0.000434,0.000101,-0.000165,0.005489,-5.9e-05,-3.1e-05,-0.000421,-0.000434,-0.000861,0.00022,-0.000557,-0.000182,-0.000383,-5.8e-05,5e-06,-0.000524,-0.006497,-0.000841,0.000221,-0.00012,-0.005649,0.000366,-8.8e-05,-0.000522,-3.4e-05,0.000371,-1e-06,-0.00015,0.000151,0.0,-5e-06,2e-06,-2e-06,-1e-06,0.000267,0.000425,-2e-05,-3e-06,-8.9e-05,9.2e-05,-0.0,0.000249,3.3e-05,3.6e-05,0.006196,0.000231,0.000134,0.005627,0.005634,0.000563,0.00611,0.006038,0.006035,0.006316,0.012335,0.011794,0.018228,0.023402,0.022527,0.027974,0.028391,0.033888,0.033251,0.032579
-0.006458,-0.005084,-0.002188,-0.00759,-0.006174,-0.003106,-0.003473,-0.002912,-0.002632,-0.007234,0.0009,-0.005498,0.001216,-0.002177,-0.000901,0.000138,0.0004,7e-06,-0.000891,0.003506,-0.000344,-0.002404,-0.000125,0.003238,-0.000866,-0.000892,-0.001766,0.003746,-0.001143,-0.000376,-0.000786,-0.000119,2.3e-05,-0.001068,0.000365,-0.001719,0.003756,-0.000247,0.002108,0.000752,-0.000177,-0.001063,-7e-05,0.000758,1e-06,-0.000304,0.000309,2e-06,-1.2e-05,0.0,-6e-06,-3e-06,0.000544,0.000865,-4.1e-05,-1.3e-05,-0.000187,0.000185,-5e-06,0.000502,6.7e-05,7.3e-05,-0.000987,0.000474,0.000275,-0.002153,-0.002141,0.001149,-0.001153,-0.001295,-0.001296,-0.000708,0.001295,-0.003166,-0.003515,-0.00322,-0.005084,-0.007594,-0.003331,-0.005717,-0.010517,-0.015526
-0.003263,-0.002379,-0.008413,-0.003825,-0.002923,-0.008646,-0.008846,-0.00859,-0.008477,-0.003537,-0.00658,-0.00271,-0.006634,-0.00108,-0.000447,6.8e-05,0.0002,4e-06,-0.000444,-0.005502,-0.000171,-0.001386,-6.5e-05,-0.005635,-0.000433,-0.000446,-0.000884,-0.005381,-0.000572,-0.000189,-0.000394,-5.9e-05,1.2e-05,-0.000534,0.000364,-0.000862,-0.005377,-0.000123,0.001238,0.00038,-8.9e-05,-0.000535,-3.5e-05,0.000382,0.0,-0.000155,0.000156,2e-06,-6e-06,1e-06,-3e-06,-1e-06,0.000273,0.000436,-2e-05,-7e-06,-9.4e-05,9.4e-05,-2e-06,0.000251,3.3e-05,3.6e-05,-0.000674,0.000239,0.000137,-0.001261,-0.001255,0.000577,-0.000762,-0.000834,-0.000835,-0.000545,-0.006985,-0.001933,-0.002331,-0.009624,-0.010555,-0.012001,-0.017103,-0.018478,-0.013661,-0.008941
0.000755,-0.00142,0.032737,-0.136723,-0.001709,0.030215,0.120634,0.030324,0.031864,-0.0022,0.031085,-0.002145,0.031677,0.000106,0.000101,6.9e-05,5.1e-05,2.8e-05,-0.001153,0.031917,8e-06,0.000991,6e-06,0.031915,9e-06,1e-06,-0.001162,0.033064,-0.00116,-1.1e-05,-0.001159,-7e-06,-1e-05,7e-06,-0.00098,-0.001151,0.033062,-2e-06,-0.000989,0.001141,-6e-06,-1e-06,-7e-06,0.00115,-1e-06,-2e-06,-7e-06,-3e-06,2e-06,3e-06,1e-06,-3e-06,-6e-06,-6e-06,1e-06,4e-06,-6e-06,-8e-06,-2e-06,-4e-06,-2e-06,0.0,0.00198,-0.000294,-0.000229,0.000844,0.000867,0.000923,0.000682,0.001941,0.000824,0.002462,-0.208588,4.131746,-0.084745,-0.320671,-0.250196,-0.317007,-0.387406,0.297432,-0.102246,4.797864
