0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
0.052753,0.045414,0.022901,0.030561,0.015651,0.007907,0.00047,0.000834,0.000394,0.000381,0.000821,0.000443,0.007934,0.008304,0.007884,0.00835,0.007938,0.007949,0.015039,-1.2e-05,0.007511,-1.1e-05,-1e-05,3e-06,-0.000437,0.007523,-1.3e-05,-0.007983,-0.000449,-0.000442,-0.000452,-1e-05,-0.000443,-0.008381,-0.016288,-0.016277,-0.015884,-0.007971,-5.9e-05,0.007457,0.007497,-1.7e-05,0.007494,-3e-06,0.000409,-5e-06,1e-06,1e-06,1.8e-05,0.007517,0.007515,-9e-06,0.007509,0.007518,6e-06,0.0,0.0,-1e-05,-1.3e-05,-1.3e-05,-4e-06,-1.2e-05,-9e-06,-1e-05,0.007513,0.007085,-0.000431,0.007521,2e-06,-1.3e-05,-8e-06,1e-06,-1e-06,1.1e-05,-8e-06,-1.4e-05,-1e-06,-5e-06,1.1e-05,1.3e-05,-9e-06,1e-06,-8e-06,-0.0,8e-06,4e-06,0.007523,-0.000434,-3e-06,-0.000438,2e-06,-0.000431,-0.007567,-0.015566,-0.015984,-0.023959,-0.032013,-0.031706,-0.031923,-0.032578,-0.024879,-0.025232,-0.025215,-0.025814,-0.02573,-0.032849,-0.02468,-0.016265,-0.016349,-0.001412,0.014005,0.029251,0.059192,0.067973,0.08515,0.085623,0.079903,0.079947,0.071642,0.055866,0.023318,0.006971,-0.009722
-0.020963,-0.021973,-0.014062,-0.013424,-0.013812,-0.004315,-0.002781,-0.009602,-0.005567,-0.00604,-0.010218,-0.00376,-0.003912,-0.011451,-0.006665,-0.010264,-0.004922,-0.004582,0.000853,-0.000852,-0.000638,-0.00094,-0.000986,5.6e-05,0.005351,0.000124,-0.001423,0.002728,0.003771,0.004433,0.003896,-0.000997,0.004479,0.010326,0.015965,0.015356,0.007579,0.00241,-0.002641,-0.002005,-0.000466,-0.000842,-0.00075,-0.000197,-0.005727,-0.000236,2e-05,1.1e-05,0.000833,0.000324,0.000197,-0.000473,-0.000277,0.000125,0.000209,6e-06,2e-06,-0.000593,-0.000815,-0.000869,-0.000328,-0.000823,-0.00063,-0.000735,-0.000392,0.005203,0.005361,7.6e-05,-7.8e-05,-0.001149,-0.000719,4.6e-05,1.9e-05,0.000816,-0.000533,-0.001055,-0.000186,-0.000456,0.000749,0.000915,-0.000652,-1.2e-05,-0.000451,-4.4e-05,0.000626,0.000342,0.000477,0.005496,-0.000495,0.004984,1.1e-05,0.005341,-0.002091,0.000732,0.004314,0.00841,0.010142,0.003585,-5.1e-05,0.00278,-0.003405,0.002947,0.005472,0.018099,0.019468,0.025571,0.039621,0.038509,0.036983,0.026583,0.014056,-0.000309,-0.030867,-0.055938,-0.059379,-0.051172,-0.046188,-0.014785,0.00192,0.011372,0.029912,0.041071,0.056877
0.003852,0.003278,0.003233,0.003294,0.004138,0.004792,0.007065,0.009883,0.004142,0.003643,0.009246,0.006039,0.005224,0.007289,0.002322,0.008529,0.004145,0.004502,-0.000464,-0.000903,-0.001359,-0.000993,-0.001042,5.5e-05,-0.004374,-0.000559,-0.001502,-0.006449,-0.006043,-0.005337,-0.005906,-0.001051,-0.005288,-0.008442,-0.011828,-0.01248,-0.010702,-0.00682,-0.002808,-0.002795,-0.001165,-0.000909,-0.001479,-0.000214,0.003961,-0.000258,2.5e-05,1.2e-05,0.000887,-0.000328,-0.000468,-0.000512,-0.000977,-0.000551,0.000222,3e-06,0.0,-0.000638,-0.000872,-0.000933,-0.000351,-0.000885,-0.000679,-0.000792,-0.001111,-0.005213,-0.004352,-0.000615,-8.4e-05,-0.001234,-0.000772,5e-05,2e-05,0.000875,-0.000575,-0.001135,-0.0002,-0.000493,0.000807,0.000985,-0.000701,-1.3e-05,-0.000488,-5.1e-05,0.000673,0.000366,-0.000184,-0.004205,-0.00053,-0.004755,9e-06,-0.00436,-0.001634,-0.008029,-0.014223,-0.019317,-0.027057,-0.024127,-0.028348,-0.035844,-0.033441,-0.036842,-0.034255,-0.040977,-0.039463,-0.031766,-0.026209,-0.017294,-0.019128,-0.021826,-0.016347,-0.013142,-0.020223,-0.020117,-0.016293,-0.017822,-0.000548,0.017473,0.028743,0.053463,0.068093,0.071643,0.067782
0.229455,0.397772,-2.773958,0.351561,0.424325,-0.130261,-0.049568,-0.944807,-0.034843,-0.039808,-0.072016,-0.033889,-0.001914,-0.081166,-0.293849,-0.092168,-0.137373,-0.124844,-0.04038,-0.012852,0.002795,0.000702,0.000509,0.000332,0.039793,0.002889,0.000722,0.164198,-0.135144,0.036698,-0.434604,-0.032617,0.045279,-0.036693,0.083402,0.025853,-0.467489,0.058711,0.007371,0.000997,-0.001459,0.008274,-0.005431,0.000826,-0.036625,0.926134,-0.000173,-0.000116,-8.2e-05,0.001979,0.001647,-0.012474,0.00603,0.002528,-5.6e-05,-5.8e-05,-4.7e-05,-0.001832,-4.1e-05,-0.001822,-0.012341,-0.008885,-8e-06,-0.001835,0.011251,-0.276532,0.048411,0.002198,0.010907,0.0001,-9.2e-05,-8.5e-05,-0.467246,0.005251,0.000649,-0.001878,-7.4e-05,-5e-05,-0.011584,6.1e-05,-0.009565,0.001021,0.315352,-0.002398,-0.000284,0.001464,0.002093,0.036473,0.007023,0.03653,0.936911,0.122494,3.078321,3.028787,-0.350557,-0.737158,-0.288505,0.188845,-0.578855,0.666592,0.737838,0.236249,0.960458,-0.180925,-0.077895,-0.249517,-0.121032,-0.375334,-0.574106,-0.46325,-0.324176,0.008768,-0.070788,1.51023,0.107464,1.741326,1.927222,0.547603,0.487189,0.239551,-0.323233,-0.261188,-0.243449
-0.373837,-0.578611,-2.096527,-0.512728,-0.526317,-0.107119,0.013826,-0.409036,0.011033,0.01504,0.01989,-0.003303,-0.047079,0.012534,-0.192967,0.091802,-0.025177,-0.027064,-0.025258,0.092248,-0.01469,0.000438,0.000222,0.000143,-0.004734,-0.014182,0.000739,0.212028,0.178802,0.002087,0.49955,0.040681,-0.01779,0.117853,0.044275,0.102143,0.287352,0.004689,-0.007706,-0.018974,-0.020071,-0.009313,-0.002441,-0.001157,0.009634,0.41998,-6.9e-05,-4e-05,-4e-05,-0.01523,-0.015758,0.093054,-0.019133,-0.015797,-2.4e-05,-4e-06,-1.2e-05,0.013512,-4e-06,0.013513,0.093286,0.089904,-7.5e-05,0.013496,-0.012086,0.324509,-0.020782,-0.015623,-0.010414,-0.000319,-8.4e-05,-4.2e-05,0.514224,0.000482,0.000192,0.013527,-2.7e-05,-1.9e-05,0.010754,0.000539,0.028677,-0.001028,-0.349277,0.002369,0.000335,0.002207,-0.015169,-0.009512,-0.006689,-0.009702,0.447862,0.03377,1.481677,1.670708,0.593661,1.066256,1.16172,1.8627,1.574225,1.661815,1.826335,0.815265,1.444446,0.564,0.517641,0.664729,0.589448,0.932187,1.341511,3.004269,1.209595,0.559157,0.420385,0.260034,-2.227365,-0.458366,-1.032733,-1.607145,-1.627132,-0.93696,-0.851135,0.093225,0.153013
-0.325705,-0.220196,-4.566461,-0.262195,-0.308814,0.075987,0.016107,-1.374695,-0.016185,-0.014745,-0.035827,0.008036,-0.018962,-0.035668,-0.246201,-0.187285,-0.10236,-0.109655,-0.274441,-0.174616,0.03033,0.001007,0.000817,0.000559,0.016544,0.029206,0.000325,-0.168788,0.124191,-0.007237,0.289178,0.026746,0.015398,0.078014,0.022903,0.057852,0.350827,-0.041939,-0.00422,0.029511,0.031932,-0.003386,0.04047,-0.000844,-0.018946,1.330534,-0.000235,-0.000162,-0.000102,0.029153,0.02958,-0.175118,0.027443,0.028905,-7.9e-05,-4.7e-05,-4e-05,-0.025425,-1.7e-05,-0.025404,-0.175233,-0.176772,-0.000113,-0.025456,-0.000504,0.24232,0.014113,0.028853,-0.004509,-0.000306,-0.000182,-0.000115,0.283647,-0.004156,-0.000856,-0.02552,-0.0001,-9e-05,0.004359,0.000123,-0.013682,-0.000525,-0.194421,0.001088,0.000201,-0.001579,0.029253,0.018789,-0.002897,0.018628,1.314192,0.133477,4.292636,4.345554,0.595312,0.565753,0.736319,1.52569,0.759668,1.008102,1.061475,0.021537,1.001062,0.266202,0.022567,0.359762,0.216522,0.422525,0.476295,-2.166708,-0.480051,-0.946407,-0.824534,-0.029242,1.820789,0.139664,-0.064779,-0.46882,-0.349367,-0.156179,1.202642,0.743424,0.799273
-0.007676,-0.007715,-0.015381,-0.008105,-0.01599,-0.000643,0.007232,0.007362,-0.000223,-4.7e-05,-0.000384,-0.000445,-0.008458,-0.008338,-0.008374,-0.008225,-0.00833,-0.008116,-0.008178,-0.000323,-3.9e-05,0.000125,0.007873,-5.5e-05,2e-06,-0.007632,5.9e-05,0.000209,9.5e-05,0.000172,9.5e-05,0.00024,0.007969,0.007974,0.015539,0.015526,0.015631,0.007926,0.007953,0.000245,0.00036,-0.007351,-0.007367,-0.007448,-0.007691,-0.007681,0.000217,0.007526,-0.000554,-0.00828,-0.015865,-0.015613,-0.00752,-0.007504,-0.00744,0.000353,0.000467,0.000399,0.000395,-0.00724,0.000291,-0.007604,-0.000109,-0.000168,8.1e-05,-0.007412,-0.007352,-0.007605,-0.007775,1.3e-05,0.000106,-0.000111,7e-05,0.000248,0.000238,0.000374,0.000122,-8.3e-05,4e-05,-0.000109,-0.000149,-3.9e-05,0.000124,-0.000102,-0.007656,-0.000108,-0.00792,-0.007818,0.007922,0.007686,-0.007209,-0.006705,-0.006069,0.00194,0.002263,0.017635,0.01782,0.017777,0.017171,0.024467,0.024629,0.031741,0.030956,0.038158,0.037749,0.044019,0.029279,0.014474,0.006999,-0.014935,-0.02177,-0.021778,-0.021093,-0.006738,0.000181,0.00024,0.000274,0.006941,0.006822,0.013507,0.020227,0.020237,0.020919
0.02112,0.020655,0.021309,0.012617,0.011864,0.005492,0.011167,0.012096,0.013351,0.014632,0.00729,0.00688,0.000154,0.006065,0.00587,0.006896,0.001312,0.00275,-0.002557,-0.002066,-0.000273,0.000773,0.000554,-0.000341,0.000233,0.000974,0.000379,0.001327,-0.004311,0.001106,0.0006,0.001452,0.006171,0.006175,0.005094,0.005094,0.011047,0.011509,0.006729,0.001739,0.00264,-0.007597,-0.007665,-0.003073,-0.004813,0.00035,0.001555,0.003731,-0.00398,-0.004007,-0.002676,-0.000776,0.001556,0.001655,0.002089,0.002348,0.003095,0.002653,0.002621,0.003309,0.00193,-0.004104,-0.005662,-0.006049,0.000531,0.002104,0.002482,-0.004082,-0.005135,-0.004813,0.000702,-0.005616,-0.004466,0.001606,0.001565,0.002423,0.000804,-0.000514,0.000265,-0.0007,-0.000968,-0.000255,0.000798,-0.000665,0.000518,-0.005601,-0.006015,-0.005356,0.001127,-0.000418,0.008306,0.01645,0.010377,0.012425,0.019446,0.015311,0.017553,0.017841,0.009781,0.009033,0.016786,0.014698,0.004589,-0.001521,-0.010243,-0.028988,-0.024416,-0.005723,-0.005997,0.012401,0.025108,0.02421,0.035344,0.02912,0.024135,0.030347,0.036295,0.01874,0.011828,-0.006329,-0.026299,-0.026374,-0.028082
-0.017917,-0.018503,-0.017785,-0.017517,-0.0186,-0.015319,-0.019193,-0.018046,-0.01657,-0.014937,-0.013127,-0.013659,-0.011224,-0.014909,-0.015187,-0.013886,-0.009857,-0.007988,-0.003564,-0.002742,-0.000365,0.001027,0.000917,-0.000455,0.000426,0.001114,0.000505,0.001765,0.005755,0.001464,0.000793,0.001919,-0.003121,-0.003128,-0.004434,-0.00445,-0.00805,-0.007577,-0.002464,0.00228,0.003463,0.0127,0.012606,0.00724,0.004965,0.000352,0.002025,-0.006373,-0.005202,-0.005342,-0.003742,-0.001271,0.001922,0.002046,0.002605,0.003088,0.004062,0.003473,0.003421,0.004163,0.002514,0.005836,0.003961,0.003457,0.000691,0.002578,0.003061,0.005849,0.004488,0.005063,0.000909,0.004024,0.005506,0.002066,0.002013,0.00311,0.001028,-0.000658,0.000338,-0.000896,-0.001243,-0.000329,0.001021,-0.000851,0.000511,0.004046,0.003353,0.004198,0.001614,-0.00038,-0.00073,-0.001526,0.013034,0.015633,0.013266,0.01912,0.021491,0.021636,0.022368,0.021243,0.01936,0.016812,0.015453,0.018637,0.019087,0.008264,0.003136,-0.006708,-0.006904,-0.006496,-0.002447,-0.003489,-0.001457,-0.008575,-0.014112,-0.017458,-0.021023,-0.020064,-0.017517,-0.017403,-0.01965,-0.019952,-0.011864
0.088732,-0.12901,0.02836,-0.022002,0.027154,-0.0263,0.091557,0.01357,-0.061789,-0.441783,-0.04519,-0.045511,-0.038037,0.071461,0.067428,0.067956,0.418476,0.038413,0.00181,0.006555,-0.001314,-0.005122,0.013289,-0.000979,5.3917,-0.001409,-0.000263,-0.0061,-0.036439,0.000517,-0.004554,0.014456,0.034862,0.036718,-0.049497,0.044835,0.068717,0.048476,0.043328,0.003088,-0.004409,-0.081547,-0.066468,-0.037338,-0.036641,-0.001818,-0.009325,0.035169,0.459568,-0.064903,0.00227,-0.002456,0.002979,0.185546,-0.001653,0.000117,0.000205,-0.000477,0.000101,-0.000807,0.0003,-0.039242,-0.035523,-0.035373,1e-06,-0.000985,-0.000667,-0.037968,0.113614,0.001659,-0.005028,-0.035457,-0.035354,-0.003529,-0.000379,0.000641,-0.002397,-0.000189,0.000117,0.01274,-0.000538,0.001137,-0.000252,-0.000659,0.038472,-0.03598,-0.034519,-0.036653,-0.005194,0.565205,0.24099,0.06493,-0.545507,-1.624267,-1.568433,-0.13259,0.016922,-0.013794,-0.072076,-0.054707,0.084435,-0.010915,0.10272,-0.177086,-1.350978,0.534214,0.688496,-0.047103,-0.548317,-0.552011,-0.121485,0.449215,0.1665,0.117653,1.082014,-0.221549,-0.482145,-0.725334,-0.389496,-0.495283,1.193653,4.219553,-0.079387
