0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
0.026664,0.026669,0.02699,0.034042,0.03408,0.034567,0.034634,0.042178,0.035201,0.035332,0.035497,0.035578,0.028568,0.021936,0.021538,0.014425,0.007333,0.007836,0.00731,7.2e-05,0.000624,0.000522,7.3e-05,0.000622,0.000636,0.000659,0.000113,9.9e-05,0.000652,9.4e-05,7.1e-05,5.1e-05,5.1e-05,5.4e-05,2e-06,0.000539,0.000525,4e-06,0.007267,5.5e-05,6.8e-05,0.007331,0.000119,0.000108,8.7e-05,-0.000449,7.6e-05,4.5e-05,2e-05,3e-05,5e-05,-0.000474,7.1e-05,5.5e-05,-0.007735,6.7e-05,8.2e-05,-0.000461,-0.007747,-0.000466,-0.000476,-0.000424,-0.008135,-0.008109,-0.000776,-1.1e-05,0.000548,0.000553,-4.1e-05,0.000489,0.000502,0.00058,0.000624,7.7e-05,-0.007423,-0.001077,-0.001126,-0.001701,-0.002266,-0.002311,-0.009847,-0.009379,-0.009454,-0.009434,-0.009485,-0.00953,-0.001533,-0.009542,-0.009507,-0.009489,-0.008969,-0.001551,-0.000593,0.007169,0.007083,9.6e-05,0.007745,0.000957,0.000906,0.001352,0.001322,0.001851,0.001388,0.002014,0.001574
0.009187,0.009041,0.003274,0.003224,0.003577,-0.000409,-0.000848,-0.006677,-0.007486,-0.008469,-0.006994,-0.006688,-0.005378,-0.01077,-0.005148,-0.004308,-0.005314,-0.009579,-0.003777,-0.003287,-0.00788,-0.007255,-0.001877,-0.007691,-0.007966,-0.008565,-0.002784,-0.002425,-0.00817,-0.002217,-0.001629,-0.001224,-0.001188,-0.001289,-6.4e-05,-0.005458,-0.00514,-0.000116,-0.000509,-0.001256,-0.001558,-0.001763,-0.002703,-0.002463,-0.001998,0.003261,-0.001726,-0.000998,-0.000432,-0.000637,-0.001069,0.00389,-0.001635,-0.001259,0.00355,-0.001529,-0.001895,0.003581,0.003805,0.003805,0.004089,0.002749,0.005776,0.005088,0.003058,-0.00813,-0.014321,-0.014874,-0.00775,-0.013274,-0.014077,-0.016387,-0.018362,-0.012997,-0.012884,0.000623,0.00207,0.00917,0.015743,0.01709,0.017197,0.012094,0.014461,0.01541,0.018485,0.021058,0.017537,0.023693,0.023791,0.024228,0.018855,0.020832,0.012528,0.013573,0.016589,0.015692,0.012993,0.007766,0.008431,0.004357,0.004265,-0.002467,0.000715,-0.009459,-0.006605
-0.020989,-0.021161,-0.017291,-0.017967,-0.017715,-0.012318,-0.012826,-0.009683,-0.009903,-0.010964,-0.009756,-0.009538,-0.00775,-0.002924,-0.006962,-0.00551,-0.005801,-0.000484,-0.004359,-0.003271,0.001848,0.002321,-0.001821,0.002036,0.001769,0.001181,-0.002711,-0.002372,0.001551,-0.002174,-0.001596,-0.001207,-0.001163,-0.001259,-5.6e-05,0.004212,0.004522,-0.000129,-0.001258,-0.001241,-0.00154,-0.002506,-0.002678,-0.002442,-0.001985,-0.006386,-0.001716,-0.000997,-0.00043,-0.000634,-0.001066,-0.005769,-0.001635,-0.00126,-0.005345,-0.001532,-0.001903,-0.006086,-0.005095,-0.005864,-0.005573,-0.006934,-0.012829,-0.013539,-0.016417,-0.01818,-0.014836,-0.015612,-0.018191,-0.014237,-0.015194,-0.017891,-0.020338,-0.024951,-0.024157,-0.030692,-0.029243,-0.031599,-0.034614,-0.033119,-0.032151,-0.027581,-0.024739,-0.023682,-0.019911,-0.01673,-0.01103,-0.013443,-0.013309,-0.012753,-0.008504,-0.006908,0.004538,0.015653,0.019206,0.029208,0.035364,0.040088,0.040253,0.045408,0.044508,0.046947,0.039955,0.038861,0.031972
0.279869,-0.950449,-0.227563,-0.955542,-0.947347,-0.990179,-0.811523,-0.599592,-0.621668,-0.181283,0.73108,0.769864,0.276138,-2.238535,0.400607,-0.002197,-1.170768,-0.098617,-0.080766,-1.995594,-0.060494,-1.513139,-0.541985,0.015981,0.033613,-0.191048,-0.002571,-1.219566,-0.041964,0.00057,0.001317,-1.227867,-0.000307,-0.005983,0.003672,-0.045369,-0.048888,-0.356231,-0.010541,-0.012596,0.000108,-0.292061,0.000698,0.001982,0.000715,0.034684,0.010821,0.000752,0.014642,0.004196,-0.003119,0.047353,-0.186557,0.013037,0.04928,-0.00079,0.017008,-0.058474,-0.168952,-0.367645,-0.338982,-0.240676,-0.056281,-0.147181,0.406118,-0.577835,-0.098255,0.904769,-0.464533,0.217805,0.963986,0.098029,0.277551,0.09073,0.96918,0.31515,-0.326423,0.030682,-0.1825,-0.376435,-0.296485,4.308056,4.341911,-0.053688,-0.789505,-0.199212,0.34009,-0.175168,-0.057535,0.115878,0.016248,0.128199,0.106978,0.245286,-1.246666,0.177972,-4.389692,0.571154,0.574539,-3.991289,0.982622,0.211211,0.141741,-0.082974,-0.141907
-0.793901,-0.875469,-0.298032,-0.886661,-0.894121,-0.893196,-0.867343,-1.278011,-1.236168,-1.657976,-1.447862,-1.292039,-1.101479,-2.258296,-0.885562,-0.300944,-2.14297,-0.037125,-0.095887,-1.740352,0.120416,-2.088095,-0.899225,-0.216567,-0.141076,-0.188736,0.009068,-2.177726,0.016015,0.018632,0.002024,-2.179677,-7e-05,0.006223,0.005867,-0.006982,0.109297,-0.51371,0.084493,0.099814,0.000266,0.221975,0.110237,0.02001,0.001172,0.005416,0.012884,-0.000392,-0.003905,-0.002441,0.094783,-0.014599,0.172401,-0.007113,-0.000474,0.014616,-0.001797,0.161437,0.266733,0.297625,0.321676,1.189949,0.959274,1.1344,2.775463,0.957509,0.594304,1.183252,0.931147,0.99256,2.136584,0.247829,1.024831,0.404779,1.17243,0.521846,0.703905,0.316166,0.667399,1.088514,1.002273,2.60297,2.908671,2.037124,-0.079497,0.106961,1.011032,1.031797,0.635952,0.600156,0.266778,-0.121529,-1.798253,-1.329623,-1.523676,-0.821879,-3.249375,-1.407579,-0.523574,-0.292528,0.954731,-0.359398,-0.411306,0.126805,0.099991
-0.508042,-1.123436,-0.27192,-1.126311,-1.126691,-1.11448,-1.162007,-1.391321,-1.170354,-1.54004,-0.600695,-0.119093,0.018141,-4.323643,-0.376422,0.20977,1.245236,-0.13388,-0.090529,-4.861529,-0.19096,-5.096045,-0.07356,0.121656,0.107115,0.025942,0.002018,1.161372,-0.037533,-0.0242,0.001193,1.160976,-0.013596,-0.019137,-0.001518,-0.058326,-0.189325,-1.691736,-0.141403,-0.170937,0.00068,0.15974,-0.195694,-0.028137,-0.00014,-0.005264,-0.01565,1.4e-05,0.006303,0.000111,-0.171323,0.019368,0.069975,0.000648,-0.008287,0.021702,0.01061,0.064205,0.108921,0.466067,0.237389,0.015292,0.107159,0.240344,-1.079209,-0.475644,-0.875015,0.144803,-0.414006,-0.907202,-1.916624,-0.199006,-1.18271,-0.508197,0.890458,0.076994,0.160012,-0.005279,0.255942,0.314551,-0.044867,2.294733,1.989982,-0.36404,1.591147,2.347197,0.349963,0.562006,0.514316,0.535367,0.26595,0.109094,2.432415,0.799357,-0.232766,0.234139,-2.013938,-0.696735,-1.572617,-5.349972,-3.181523,-1.184196,-1.15086,-0.917212,-0.371192
-0.015249,-0.023022,-0.022834,-0.030435,-0.0303,-0.029851,-0.029666,-0.022061,-0.014258,-0.014461,-0.014616,-0.006944,-0.007074,-0.00705,0.000537,-0.007049,0.000594,-0.006865,0.000627,-0.00682,0.000553,0.008136,0.000672,0.000767,0.001007,0.001141,0.001452,0.001604,0.001683,0.002241,0.002443,0.002418,0.002306,0.009602,0.001981,0.008961,0.008815,0.001001,0.000703,0.000574,0.000331,0.000552,0.00041,0.000187,0.000251,5.8e-05,2.4e-05,-3e-06,-6e-05,-6.6e-05,-0.000301,-0.0003,0.007027,0.007005,0.007085,-0.000162,-8.8e-05,0.007468,0.007361,0.007325,-8.4e-05,0.000107,0.000413,0.000409,0.007853,0.000528,0.000412,0.000292,0.000172,0.00017,5.6e-05,8e-06,-4e-06,-6.1e-05,5e-05,-4.1e-05,-5.9e-05,-1.9e-05,-2e-06,-7.2e-05,4.4e-05,0.007316,5.8e-05,-1e-06,8.6e-05,0.000127,-7.8e-05,-4.8e-05,-0.00022,-0.000212,-0.000263,-0.00033,-0.000264,-0.00029,-0.000284,-0.000253,-0.007532,-0.000157,-0.007396,2.8e-05,0.000183,8.7e-05,0.00014,0.000233,0.00025
0.004282,0.010527,0.011621,0.00736,0.002654,0.010874,0.011325,0.004077,0.009168,0.007376,0.006038,0.005431,0.004437,0.004511,0.003536,0.004396,0.003852,0.010339,0.004023,0.010513,0.003553,0.002919,0.009233,0.009851,0.011422,0.012303,0.014364,0.010498,0.006153,0.014824,0.01631,0.016338,0.015672,0.01469,0.013831,0.010983,0.009864,0.002356,0.000248,-0.000689,-0.002017,0.004103,-0.001877,-0.003533,0.001883,-0.004495,0.00019,-2.1e-05,-0.000437,-0.000488,-0.006681,-0.007169,-0.002603,-0.002758,-0.002267,-0.001283,-0.000698,0.000647,-0.000154,-0.000443,-0.005731,0.000875,0.003332,-0.001781,0.003919,0.004323,-0.001719,0.002413,0.001427,0.001391,0.000473,6.3e-05,-2.7e-05,-0.000496,0.000415,-0.000318,-0.000482,-0.000163,-1.2e-05,-0.005697,0.000369,-0.000301,0.000484,-0.005121,0.000724,0.001063,-0.00573,-0.00037,-0.006942,-0.001757,-0.002175,-0.002742,-0.002199,-0.002392,-0.002349,-0.002094,-0.001229,-0.001306,-0.000105,0.000209,0.006661,0.000704,0.001138,0.001896,0.002031
0.006142,0.002991,0.004436,0.010217,0.015426,0.014779,0.015157,0.016863,0.012167,0.009648,0.007782,0.007096,0.005738,0.005804,0.004665,0.005614,0.005041,0.00198,0.00523,0.002167,0.004582,0.003914,0.000634,0.001405,0.003381,0.004482,0.007023,0.013108,0.018619,0.01819,0.019732,0.019469,0.018544,0.01723,0.015938,0.012581,0.011348,0.012953,0.010541,0.009483,0.007979,0.004549,0.008121,0.006285,0.002076,0.005223,0.00021,-2.2e-05,-0.000481,-0.000535,0.002768,0.002269,-0.002848,-0.003032,-0.002488,-0.001425,-0.000777,0.000732,-0.000162,-0.000484,0.003865,0.000966,0.003682,0.00823,0.00431,0.004735,0.008262,0.002634,0.001556,0.001516,0.000516,6.9e-05,-2.9e-05,-0.000539,0.000452,-0.000346,-0.000527,-0.000179,-1.4e-05,0.003911,0.0004,-0.000337,0.000524,0.004535,0.000785,0.001154,0.003879,-0.000402,0.002564,-0.001913,-0.002372,-0.002994,-0.002404,-0.002621,-0.002576,-0.002301,-0.001348,-0.001437,-0.000115,0.000233,-0.002858,0.000779,0.001257,0.002088,0.002232
-0.001333,0.037704,0.033803,-0.002733,-0.038947,-0.003606,0.234765,-0.045053,0.060093,-0.001172,0.003003,0.004393,0.329353,-0.003258,0.077146,-0.001772,-0.015492,0.454987,0.04137,0.037849,0.020755,-0.005428,0.036026,0.036075,0.036494,0.036469,0.066806,-0.003328,-0.032849,0.003307,-0.014713,0.008801,0.104499,-0.007746,0.0017,0.002814,3.550714,-0.04702,-0.034476,0.074114,3.93404,-0.001106,-0.035651,0.059154,0.060703,-0.044715,0.267353,-0.002867,0.198695,0.115515,4.058262,1.440713,0.121278,1.501356,0.273076,0.017192,-0.02153,0.004801,0.000747,0.019754,-0.019548,0.025496,-0.000706,-0.167089,-0.166529,-0.04936,-0.034777,0.000724,-0.280989,-0.005566,-0.014622,-0.002598,-0.046571,0.000264,0.00484,0.00522,-0.027989,0.006951,-0.000134,-0.035607,-0.000149,0.000869,-0.000101,0.106744,-0.001739,0.000607,-0.035421,0.004147,0.358972,-0.002352,-0.000712,0.269053,-0.001826,0.000112,-0.000471,9.1e-05,-0.001501,4.4e-05,-0.142927,-0.025685,1.227717,-0.097205,-0.187628,-0.173659,-0.084956
