0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1e-06,0.000167,0.000231,2.7e-05,0.00038,-0.004578,-0.00438,-0.009718,-0.009554,-0.00461,-0.004581,-0.00448,-0.004638,-0.004648,0.00069,0.00626,0.017134,0.012016,0.012737,0.024285,0.018639,0.025573,0.031218,0.025494,0.03202,0.025846,0.019814,0.019183,0.01883,0.008372,0.006927,7.8e-05,-0.005422,-0.005537,-0.00653,-0.006306,-0.001,-0.000656,-0.00035,-0.005532,0.000118,1.4e-05,-0.000195,0.001169,0.000976,-0.00014,0.001037,0.000987,-0.000497,-0.004771,-0.000592,0.000882
-4e-06,-0.00051,-0.00071,-8.7e-05,-0.001173,-0.004383,-0.005003,-0.007106,-0.007665,-0.004613,-0.004475,-0.004843,-0.004381,-0.004339,-0.00221,-0.000771,0.002977,0.000125,-0.002025,-0.000116,-0.001286,-0.005244,-0.003534,-0.004329,-0.006941,-0.006602,-0.00683,-0.005049,-0.004005,-0.011158,-0.005495,-0.002098,-0.004084,-0.003759,0.000721,0.000157,0.002661,0.001746,0.000931,-0.001873,-0.000317,-3.9e-05,0.000517,-0.00497,-0.004453,0.000363,-0.004627,-0.004489,0.00132,-0.005789,0.001581,-0.004213
-3e-06,-0.000249,-0.000347,-4.4e-05,-0.000571,-0.001805,-0.002098,-0.002796,-0.003076,-0.001891,-0.001857,-0.002042,-0.001825,-0.001797,-0.001096,-0.000741,0.000409,-0.000666,-0.001754,-0.00154,-0.001777,0.002766,0.003247,0.003197,0.008464,0.009033,0.00932,0.010263,0.010828,0.014978,0.010886,0.005973,0.005339,0.005514,0.00076,0.000467,0.001375,0.000902,0.000482,-0.000582,-0.000162,-2e-05,0.000265,0.004507,0.004774,0.000184,0.004689,0.004766,0.000676,0.004475,0.000809,0.004913
-0.014305,-7.3e-05,-0.008485,0.414468,0.547261,0.695455,-0.829277,0.089369,0.083111,-2.175343,0.453015,-0.567563,1.563693,0.12655,1.095408,0.114511,0.635844,-0.207947,0.358026,-0.181852,-0.20611,-0.043166,-0.048351,-0.031407,-0.070574,-0.096762,0.303652,-0.060098,0.043344,-0.126381,0.087747,0.413971,0.138342,0.049717,0.128336,-0.0091,-1.122866,0.19653,-0.000822,-0.005741,-0.010541,0.010734,-0.000992,-0.045606,-0.048561,0.43139,0.264732,-0.050417,0.243521,-0.050096,0.001228,-0.034163
0.097816,-3.2e-05,0.008932,-0.381283,-0.495375,-0.523827,-0.677226,-0.67098,-0.315244,-2.766808,-0.668403,-0.988579,1.65623,-0.182237,2.093379,0.102858,2.482931,1.146264,2.76476,0.280866,0.285365,0.06673,0.040584,-0.042501,-0.058474,-0.060061,-0.397792,-0.046504,-0.131693,-0.365406,-0.230264,-0.453944,-0.227321,-1.265347,-0.261014,0.021509,-2.190059,-0.158597,0.00367,0.018328,0.010442,-0.00976,0.000913,0.008654,0.013545,-0.35184,-0.24416,0.012033,-0.211696,0.025185,-0.012815,-0.001585
-0.172645,-5.8e-05,0.006489,-0.255127,-0.326657,-0.66399,-1.535526,-0.795378,0.039718,-4.156184,0.169727,-0.997431,-1.505871,0.075905,-1.159953,0.083566,-0.974971,-0.09241,-1.151247,-0.163252,-0.228353,-0.128945,-0.090201,0.066264,0.065608,0.041824,-0.214566,0.03987,-0.023667,-0.549295,0.062919,-0.083009,0.060828,0.517028,0.291261,-0.024927,1.300838,-0.113554,0.000467,-0.027234,0.004169,-0.008071,0.000703,-0.019157,-0.019414,-0.212359,-0.170227,-0.018111,-0.093638,-0.048798,0.025949,-0.026714
-0.000101,0.000355,0.006941,0.006673,0.002232,0.014376,0.015255,0.02179,0.016441,0.016465,0.022235,0.02565,0.018978,0.013648,0.018117,0.011357,0.011536,0.005996,-0.000198,0.000511,0.000514,-5.9e-05,0.000471,-0.005429,-0.005871,-0.005778,-0.006042,-0.00589,-0.000714,-0.006392,-0.00068,0.000187,0.000537,0.006382,0.001375,0.006395,0.000565,0.006555,0.000283,0.005925,0.000358,-0.00027,-7.9e-05,5e-05,4.1e-05,0.000201,0.000991,0.006332,0.006652,0.007697,0.012926,0.019188
-0.000293,0.001007,0.005775,0.001625,0.006747,0.006801,0.012518,0.014277,0.020394,0.020507,0.023517,0.012825,0.007403,0.01273,0.008372,0.002167,0.002786,0.003853,-0.000679,0.005079,0.005091,0.003197,0.008317,0.008148,0.006674,0.007238,0.002966,0.003229,0.001208,-0.001589,-0.002226,0.003921,0.005052,0.004988,0.011143,0.008458,0.005163,0.00899,0.004241,0.006932,0.007829,0.002354,0.006418,0.006828,0.006793,0.00724,0.013129,0.011598,0.012652,0.019332,0.017682,0.022623
-0.000117,0.000428,-0.004752,0.000376,0.002648,0.002009,-0.002314,-0.001971,-0.006157,-0.006011,-0.011893,-0.009723,-0.004815,-0.009082,-0.011074,-0.006485,-0.006236,-0.00549,-0.000263,-0.004672,-0.004669,-0.005398,-0.010035,-0.009761,-0.010327,-0.010154,-0.005181,-0.005029,-0.006172,-0.000316,-0.000873,-0.005074,-0.004616,-0.004973,-0.008851,-0.010217,-0.004571,-0.009976,-0.004926,-0.010743,-0.010072,-0.005645,-0.010616,-0.010444,-0.010451,-0.010264,-0.014447,-0.015323,-0.014909,-0.018656,-0.019568,-0.024303
0.007917,-0.389886,0.027476,0.001855,-4.39745,-4.450688,0.001724,0.001197,-4.314126,0.157811,-0.08161,0.053893,0.02497,-1.213831,-0.320493,0.030686,-0.076496,0.02604,-0.344374,-0.339113,0.372959,-1.1889,0.393921,0.198122,0.409262,-3.97776,-3.899904,0.289602,-3.728261,-3.701216,0.024801,-0.706802,-3.237102,-0.649981,0.066164,0.070919,-0.280583,-1.01735,-0.050798,-3.270489,0.031691,-4.442155,0.002336,0.081105,-0.236596,-3.331589,-1.429426,0.138405,-2.763264,-0.34405,-2.470824,0.154223
