0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
-0.028135,-0.028041,-0.027994,-0.027943,-0.02793,-0.020924,-0.020444,-0.020951,-0.02098,-0.00701,-0.007013,-0.007008,-4e-06,0.006984,0.006977,0.006989,0.006995,3e-06,-0.000487,-2.9e-05,-4.3e-05,-0.007021,-0.000516,-0.00746,-1.7e-05,-1.6e-05,-9e-06,1e-05,1.2e-05,7e-06,5e-06,0.0,1e-06,0.006963,-0.000473,2e-06,-0.000473,0.006474,0.006468,-0.000475,0.006469,0.006465,0.005977,0.005976,0.006006,0.006023,0.006023,0.006009,0.00651,0.006495,0.006466,0.006422,0.006923,0.006875,-7e-06,0.006876,0.006877,0.00689,0.006897,0.006897,0.006896,0.006893,-0.000541,0.006889,4e-05,4.2e-05,1.6e-05,5.9e-05,-4e-06,-0.006793,2e-06,-3.6e-05,-1.1e-05,-0.000572,-0.000552,0.006324,-0.000533,0.00637,0.005833,0.005835,0.005853,0.013246,0.01323,0.013198,0.019993,0.027458,0.020593,0.027545
0.000953,0.000195,-0.000694,-0.001656,-0.001998,-0.002634,-0.008451,-0.002569,-0.001872,0.000202,0.000582,0.000508,0.000335,0.001448,0.001882,0.000618,0.000229,-1e-05,0.00595,0.001845,0.00262,0.002236,0.008093,0.006599,0.001304,0.001146,0.000566,-0.000392,-0.00082,-0.000416,-0.000351,2.1e-05,7e-06,0.00038,0.005788,0.000161,0.005789,0.006175,0.006186,0.005806,0.005578,0.005446,0.011034,0.010581,0.0088,0.007891,0.007859,0.00834,0.002693,0.00329,0.004275,0.005593,0.000311,0.001624,0.00031,0.001262,0.001194,0.000716,0.000466,0.000481,0.000496,0.000515,0.005703,0.000516,-0.000841,-0.000891,-0.000331,-0.000468,3.2e-05,-0.000662,1.3e-05,0.000638,9.1e-05,0.006002,0.005582,0.006136,0.005146,0.004941,0.010197,0.010096,0.00962,0.00501,0.005221,0.005652,0.0071,0.00116,0.000839,0.001031
0.003984,0.003205,0.002252,0.001256,0.000902,-0.000462,0.003233,-0.000451,0.000195,0.000877,0.001236,0.001161,0.000329,0.000749,0.001168,-6.7e-05,-0.000448,-1.5e-05,-0.003612,0.00179,0.002538,0.002831,-0.001527,-0.002312,0.001262,0.001108,0.000546,-0.000404,-0.000789,-0.000398,-0.000338,2.1e-05,6e-06,-0.000288,-0.003755,0.000155,-0.00375,-0.004029,-0.00402,-0.00373,-0.004604,-0.004732,-0.008658,-0.009089,-0.010808,-0.011691,-0.011728,-0.011263,-0.007427,-0.006848,-0.005886,-0.004591,-0.000399,0.000893,0.000296,0.000527,0.000459,-1.3e-05,-0.00026,-0.000244,-0.000231,-0.000214,-0.003766,-0.000218,-0.000836,-0.000883,-0.000327,-0.000683,4.1e-05,-0.00016,8e-06,0.000647,0.000109,-0.003432,-0.003865,-0.004036,-0.004293,-0.005215,-0.009404,-0.00949,-0.009974,-0.005897,-0.005706,-0.005278,-0.004589,-0.001958,-0.001539,-0.001888
0.004067,1.035945,-0.007623,-0.086065,0.480501,-0.061285,-0.045572,-0.010809,0.038788,0.162183,-0.004127,-0.009335,-0.01273,-0.014493,-0.014761,-0.014356,-0.017155,-0.01156,-0.04724,0.002447,0.003043,0.002735,-0.015812,-0.014973,-0.005561,-0.008229,-0.006865,0.458313,0.001207,0.006989,-0.003591,-0.000832,0.002408,-0.073352,-0.022618,-0.032907,-0.102149,-0.048041,-0.061748,-0.036269,-0.115199,-0.058023,-0.095575,-0.316427,-0.116423,-0.052627,-0.10543,-0.254326,-0.114577,-0.120729,-0.071241,-0.168557,-0.154819,-0.150443,-0.151755,-0.136253,-0.134559,-0.100636,-0.050041,-0.038476,-0.345718,-0.078144,-0.109765,-0.088735,-0.0972,-0.120359,-0.132698,-2.664483,-0.021172,-2.234194,-0.79342,0.238547,0.316243,-0.181006,0.037959,0.292304,0.225947,0.312201,0.263258,0.169665,0.207209,0.290533,0.047905,-0.071071,-0.836301,0.177467,0.02658,-3.986673
0.045756,-0.072151,0.074089,0.207235,-0.183243,0.121018,0.056378,0.046209,0.032817,0.167944,0.002255,0.005641,0.011128,-0.000428,8.6e-05,0.004696,-0.026614,-0.00343,0.010626,-0.011514,-0.001737,0.102958,0.000626,0.070936,0.009727,0.009081,0.00885,1.633268,-0.007743,0.176519,-0.008264,-0.005494,-0.006261,0.016822,0.088681,0.193559,-0.088185,0.015746,0.042908,0.127133,0.033156,0.050031,0.054961,0.073442,0.220347,0.072832,0.060947,0.143557,0.127169,0.033533,0.033051,0.057179,0.26242,0.03961,0.027025,-0.016717,0.011855,-0.026032,-0.005338,0.004001,0.043196,0.033372,0.068833,0.034394,-0.009562,-0.014279,-0.041165,-4.60393,-0.146988,-5.050961,-1.381404,-0.289575,-0.296848,-0.067791,0.143472,-0.394441,-0.077399,-0.469972,-0.111093,-0.821593,-0.05749,-0.257559,0.141281,-0.657493,-1.654649,-0.156648,-0.745996,-3.795927
-0.109053,2.474165,-0.126137,0.263118,0.814117,-0.079559,-0.113316,-0.095632,-0.034215,0.112224,-0.014875,-0.022742,-0.014754,0.014492,0.018488,0.004106,0.007667,-0.011906,0.022306,0.025747,0.03106,-0.024399,0.083533,0.029864,0.003819,-0.00062,-0.00502,-0.051955,-0.004407,-0.05823,-0.004805,0.001203,0.005017,-0.06976,0.019897,-0.11039,-0.002224,0.039972,0.013767,-0.014537,-0.048438,0.008265,0.042765,-0.220954,-0.085567,0.055638,0.003094,-0.207511,-0.122797,-0.068206,-0.002831,-0.11626,-0.315218,-0.154847,-0.186783,-0.102703,-0.121248,-0.059387,-0.019108,-0.012744,-0.386293,-0.078511,-0.092647,-0.091715,-0.108249,-0.130753,-0.11659,1.288187,-0.181537,0.763817,0.209713,-0.39891,-0.690046,-1.388344,-0.343093,-0.633609,-0.541757,-0.743149,-0.53693,-0.706662,-0.486488,-0.602699,-0.318062,-0.359728,-0.308892,-0.466225,-0.976144,-0.070333
0.008239,0.008813,0.009529,0.010031,0.010529,0.017377,0.017488,0.009802,0.016884,0.015843,0.021838,0.01478,0.008355,0.015211,0.009124,0.009115,0.002698,0.002225,0.008207,0.007014,0.006874,0.00678,0.007463,0.007932,0.000935,0.00098,0.007488,0.007413,0.007167,0.008162,0.016137,0.010225,0.010024,0.009596,0.009338,0.002312,0.002474,-0.004735,-0.011212,-0.011215,-0.011372,-0.018581,-0.018803,-0.018804,-0.011691,-0.011595,-0.011286,-0.011412,-0.005414,-0.005724,-0.006207,-0.005652,-0.00582,-0.005937,0.001181,0.000928,0.00088,0.00712,0.000225,0.000776,0.001185,0.00172,0.002242,0.002222,0.002173,0.002257,0.00277,0.003388,0.010448,0.01076,0.010793,0.017228,0.016838,0.010721,0.00946,0.009223,0.009078,0.008575,0.007982,0.013757,0.006353,0.012583,0.005541,0.011961,0.005453,0.012211,0.012069,0.012154
0.002027,0.003713,0.005815,0.007361,0.01269,0.011134,0.011691,0.007136,0.010289,0.003496,-0.004319,-0.003424,0.00332,-0.001868,0.005899,0.002121,0.004946,-0.000377,-0.008331,-0.016075,-0.016568,-0.016893,-0.006887,-0.001433,-0.000652,0.00337,0.00094,0.000696,-0.007881,-0.000532,-0.001573,0.00313,-0.00138,-0.006629,-0.007425,-0.006979,-0.002481,-0.002855,0.003194,0.00311,0.006239,0.005635,0.004782,0.004651,0.004668,0.004936,0.005845,0.005321,-0.00203,-0.003069,-0.008424,-0.00282,-0.003149,-0.007558,-0.003301,-0.004398,-0.00456,-0.007218,-0.006739,-0.001156,0.0005,0.001962,0.007455,0.007392,0.007068,0.00756,0.013034,0.018883,0.023037,0.027995,0.028213,0.026951,0.022221,0.028588,0.017245,0.016194,0.015752,0.014067,0.012417,0.008666,0.002778,0.000644,-0.004394,-0.005463,-0.004789,-0.000846,-0.005226,-0.004916
0.002595,0.004284,0.006368,0.00786,0.003543,0.002405,0.002875,0.00742,0.001393,0.004183,0.006407,0.006853,0.003531,0.008278,0.005945,0.011634,0.013879,0.018076,0.020211,0.02224,0.021785,0.021493,0.012294,0.008088,0.008503,0.003015,0.001102,0.000878,0.01135,0.008819,0.017118,0.020896,0.025861,0.03012,0.02931,0.029408,0.024311,0.02376,0.019748,0.019639,0.013415,0.012732,0.012029,0.011885,0.012014,0.012205,0.012872,0.012413,0.015348,0.014533,0.018898,0.014685,0.014288,0.019553,0.014252,0.013588,0.01346,0.011579,0.011828,0.007566,0.008576,0.009842,0.005469,0.005407,0.00515,0.005465,0.001083,-0.00304,-0.008302,-0.013039,-0.012892,-0.013741,-0.008899,-0.012642,-0.004579,-0.005019,-0.005326,-0.006478,-0.007884,-0.010123,-0.006405,-0.007565,-0.002996,-0.003735,-0.003282,-0.008613,-0.003603,-0.003394
0.060933,0.022251,0.041694,0.044679,0.050025,0.081074,0.096299,0.032173,0.042528,0.002278,-0.03372,-0.034729,-0.000385,-0.033999,-0.054923,-0.03904,-0.092108,-0.072479,-0.104987,-0.139808,-0.187295,-0.144151,-0.118211,-0.030866,-0.037104,-0.000381,0.000398,0.00439,0.079602,-0.03716,-0.071343,-0.067694,0.390943,-0.140115,-0.134289,-0.074395,-0.053244,-0.113592,-0.074768,-0.069765,-0.036349,-0.037957,-0.037491,-0.036413,-0.03556,-0.036285,-0.115598,-0.029175,-0.071181,-0.06687,1.537313,1.572535,5.349408,0.041711,5.360777,-0.027636,-0.065184,-0.064383,-0.071216,-0.035623,5.421681,0.009415,0.504625,0.011281,0.276929,-0.000872,0.040246,0.07004,0.105532,0.177343,0.134268,0.666993,0.112882,0.166289,5.585713,0.071753,0.070155,0.069716,5.55523,0.071129,5.51257,0.187505,0.013433,0.058842,-0.00328,0.035276,9.3e-05,-0.000202
