0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
-0.061551,-0.06687,-0.059282,-0.05968,-0.046428,-0.033971,-0.021272,-0.008272,0.004766,0.025336,0.025463,0.032266,0.040016,0.040173,0.033807,0.042014,0.034997,0.035286,0.036315,0.016076,0.022369,0.02976,0.024375,0.017099,0.024403,0.017108,0.014528,0.012952,0.004896,0.003303,0.0103,-0.003811,-0.002563,0.005235,0.005948,0.006663,0.008055,0.014567,0.014523,0.014068,0.012046
0.033202,0.025494,0.016732,0.019203,0.010469,0.014142,0.015656,0.008199,0.002887,-0.012189,-0.009341,-0.002303,-0.015949,-0.016791,-0.015975,-0.031369,-0.025454,-0.02342,-0.031692,-0.032232,-0.024075,-0.023776,-0.033749,-0.028737,-0.028528,-0.024456,0.000826,0.015352,0.024249,0.038042,0.036424,0.036738,0.024893,0.015675,0.009368,0.000954,-0.010184,-0.006972,-0.006463,-0.002097,0.014601
0.069099,0.052551,0.035256,0.020078,0.003552,-0.011354,-0.019521,-0.026369,-0.031696,-0.028773,-0.026653,-0.0217,-0.016709,-0.017556,-0.016595,-0.013345,-0.016602,-0.015185,-0.01401,-0.012873,-0.015333,-0.006895,0.012027,0.017557,0.02634,0.031024,0.026937,0.021924,0.021413,0.015336,0.012948,0.00547,0.003863,0.003942,0.007293,1.9e-05,0.008107,0.010128,0.010557,0.014244,0.010814
-0.128782,-0.296758,-0.755404,-0.624867,-0.894156,-0.538494,-0.872207,-1.034924,-1.051369,-0.933274,-0.881681,-0.549546,-0.311074,-0.797302,-0.283803,0.258041,0.086669,0.358514,-1.557495,0.368921,0.225433,0.372338,0.147556,0.040847,-0.055393,0.104496,0.245874,-2.081534,-0.286572,-0.162683,-3.823046,-3.972624,-0.200547,-0.412266,-1.326701,-2.939678,-0.074963,-0.109474,0.095755,0.041796,-0.701901
-0.090294,0.194337,0.088261,0.539953,0.823227,1.00055,2.357443,1.524384,1.796007,1.710089,1.709907,1.049038,0.988648,1.858889,0.250166,0.145459,0.286224,-0.440706,0.16891,-0.905894,-0.481089,-1.304838,-1.090426,-0.760977,-1.747714,-1.763889,-1.893758,-3.508362,-1.228299,-1.508676,-3.058973,-2.911941,-0.401908,-0.555222,-1.067919,-3.013456,-0.141072,-0.483121,-0.187,-0.212842,-1.048258
0.169248,0.005335,1.027079,0.413481,0.619671,-0.054801,-1.355881,-0.087611,-0.525012,-0.410507,-0.471567,-0.530001,-0.946763,-3.250556,-1.529606,-1.837485,-1.488589,-1.538057,-4.14917,-1.752349,-1.388559,-1.62867,-1.292617,-0.852658,-0.116035,-0.628909,-0.092105,1.675804,1.362762,1.913868,-1.453814,-2.277718,1.256197,0.773278,-0.068077,-3.266724,0.154093,-0.447728,-0.081819,-0.085404,-1.177113
0.019358,0.013712,0.020739,0.020822,0.014159,0.000754,-0.00604,0.001039,-0.005667,-0.012353,-0.012335,-0.012002,-0.018618,-0.018702,-0.018926,-0.019035,-0.019264,-0.012866,-0.012713,-0.019606,-0.019393,-0.0197,-0.020426,-0.020446,-0.013586,-0.01339,-0.019682,-0.01289,-0.006449,-0.006404,0.000532,0.000502,0.007596,0.014857,0.021651,0.015074,0.021905,0.015088,0.014646,0.014538,0.007884
-0.023429,0.002904,-0.014586,-0.020119,-0.023088,-0.014377,-0.017548,-0.029476,-0.024231,-0.025282,-0.017745,-0.008383,0.007307,0.005265,0.012227,0.014885,0.011439,0.010284,0.011089,0.011095,0.011681,0.007989,0.001067,0.00086,0.005729,0.007176,0.01594,0.015374,0.012132,0.012311,0.013232,0.008428,0.010926,0.010582,0.011321,0.008882,0.015609,0.015523,0.008446,0.007224,0.00764
-0.014428,-0.006871,0.00389,0.007818,0.014537,0.023748,0.030266,0.037188,0.042601,0.051077,0.048614,0.048192,0.044047,0.041888,0.029567,0.022595,0.019422,0.009232,0.009851,0.009627,0.010334,0.00711,0.001196,0.001009,-0.003728,-0.002509,-0.003778,-0.004326,-0.007131,-0.006974,-0.006247,-0.001599,0.000435,0.008694,0.00918,0.015717,0.012417,0.012334,0.014708,0.013883,0.01422
-0.282885,0.043505,-0.065352,-0.096676,0.151731,0.436311,0.36538,1.715214,0.338447,0.251217,4.663244,0.034886,-0.07412,0.033047,-0.038177,-0.004057,0.000346,-0.01015,0.294575,-4.864233,0.000252,0.007286,0.001801,-0.001929,0.065376,0.033211,0.073123,0.070524,0.011266,0.081443,0.07801,0.036434,0.037194,0.026538,0.00627,-0.156343,0.259669,0.140905,-5.035659,0.043145,-0.049206
-0.560285,-0.155184,-0.231992,-0.236931,0.222447,0.842714,0.832914,-0.169067,0.855641,0.994982,-2.43285,0.489156,0.133981,0.336067,0.075517,0.056025,-0.032803,-0.126444,0.346177,2.229066,-0.226145,-0.200644,-0.057868,-0.181628,-0.114845,-0.103557,-0.108921,-0.026085,-0.179536,-0.105996,-0.133998,-0.031313,-0.046136,0.064505,-0.068382,0.117688,1.56077,0.586318,2.363476,0.428296,0.183277
1.070984,0.238875,0.351443,0.356058,0.620147,0.817429,0.770981,1.145823,0.983741,0.784759,-0.252671,0.288624,0.103421,0.196103,0.047812,0.079281,0.213209,0.13633,0.68276,1.23872,0.309706,0.289885,0.069762,0.237451,0.312933,0.11919,0.134313,-0.00618,-0.101167,0.184034,0.205537,0.041019,0.070471,-0.09574,0.123455,-0.092287,-2.236691,0.139644,0.790033,-0.039995,-0.238654
