0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112
0.000832,-0.000474,-0.001453,-0.001848,-0.001348,0.003011,0.003909,0.008512,0.013508,0.007965,0.000225,0.001488,0.001767,0.000261,-0.000275,-0.00048,0.004305,0.003712,-0.001482,0.00463,-2.4e-05,0.001216,0.001406,0.007286,0.002226,0.00291,0.004073,0.003491,0.008823,0.007534,0.004948,-0.001558,0.00421,0.004511,0.003677,-0.00172,0.005671,-0.000718,-0.00107,-0.001945,-0.002463,-0.002109,-0.002139,-0.003902,-0.004189,-0.002706,0.002613,0.002921,0.004835,0.006045,0.004153,0.004495,-0.00306,-0.002179,-0.002872,-0.008983,-0.009203,-0.0075,-0.00222,-0.001648,-6.9e-05,-0.001197,-0.000709,-0.000692,0.005654,0.006563,0.004746,0.005861,0.004316,-0.001163,0.004494,0.00425,0.010722,0.005594,0.009702,0.011721,0.001458,0.001251,0.008381,0.002718,0.002666,0.007598,0.012882,0.007267,0.007575,0.007743,-0.003799,0.001548,-0.000152,-0.004569,0.00037,0.005583,0.004951,0.004556,0.005783,0.009982,0.004917,0.006834,-0.000281,0.005526,0.001523,0.00135,-0.006309,-0.001296,-0.001357,-0.001753,-0.002327,0.003028,-0.002573,-0.002301,-0.000957,-0.006188,-0.005677
-0.032638,-0.025225,-0.018928,-0.014641,-0.016362,-0.008596,-0.013139,-0.007591,-0.003347,-0.007238,-0.000742,-0.006523,-0.007452,-0.000885,0.000909,0.001598,0.006557,0.008443,0.005003,0.005332,4.9e-05,-0.003826,-0.004612,-0.00332,-0.007241,-0.009248,-0.013238,-0.011118,-0.008089,-0.00385,0.006153,0.006626,0.008487,0.005833,0.010091,0.00737,0.002099,0.002251,0.003392,0.006013,0.007742,0.00663,0.006733,0.013996,0.014892,0.00856,0.011431,0.010369,0.004309,-0.001131,0.006394,0.005289,0.011108,0.00672,0.010514,0.010375,0.011096,0.004218,0.006906,0.005119,-0.001427,0.003708,0.002198,0.002369,-0.000243,-0.003078,0.004196,-0.000905,0.005745,0.003514,0.004832,0.005549,0.004384,0.001498,0.009276,0.001436,-0.004314,-0.003689,-0.008311,-0.009661,-0.009503,-0.004208,-0.001584,-0.003138,-0.003998,-0.004439,-0.006898,-0.004437,0.002181,-0.004734,-0.001061,0.001834,0.003644,0.004756,-0.000512,0.006961,0.003666,-0.003495,0.000777,0.001953,-0.006038,-0.005554,0.000212,0.003622,0.003792,0.004898,0.006517,0.008895,0.007209,0.006459,0.002689,-6e-06,-0.001407
0.024485,0.014533,0.003887,-0.007989,-0.009101,-0.012366,-0.007878,-0.005132,-0.003113,0.002386,-0.000462,0.003366,0.002802,-0.000544,0.000556,0.000977,0.003452,0.004583,0.002998,0.002683,2.5e-05,-0.002375,-0.002789,-0.002551,-0.004413,-0.005756,-0.008171,-0.007064,-0.005628,-0.003,-0.00417,-0.003283,-0.002693,0.003092,-0.001678,-0.003002,0.000743,0.001414,0.002115,0.00375,0.004809,0.004094,0.004149,0.001217,0.001745,0.005174,0.006346,0.005663,0.00204,0.006041,0.003264,0.002605,-0.000674,0.003938,-0.001035,-0.000629,-0.000218,0.00292,0.003965,0.002923,0.006276,0.002103,0.001245,0.001101,0.006467,0.004871,0.001892,0.006092,0.002596,0.001968,0.002259,0.002649,0.001545,0.000387,-0.002805,-0.000102,-0.002409,-0.00206,0.00193,0.001622,0.001712,-0.00285,-0.001854,-0.002276,-0.002767,-0.00304,-0.003494,-0.002568,-0.005896,-0.002254,-0.000615,0.000568,0.00162,0.002259,0.006364,0.003033,0.001617,0.004639,0.000441,0.00063,0.003672,0.003954,0.00061,0.00208,0.002172,0.002801,0.003712,0.004568,0.004073,0.003632,0.001512,0.000448,-0.000319
-0.086814,-0.062758,0.030992,5.899135,2.851887,-0.049811,1.291762,0.138027,0.516908,-0.042868,1.554719,-0.041643,-0.046241,0.037796,0.079745,0.381575,1.50764,0.092707,5.997976,0.306301,-0.099648,4.707802,-0.07527,0.365322,0.051895,4.826252,1.436813,4.990048,-0.085522,-0.071341,-0.02668,-0.020867,-0.028825,-0.050572,0.127029,5.262695,-0.058084,-0.067836,1.573159,-0.524109,-0.057048,-0.060408,-0.036204,1.578197,-0.07417,-0.096834,-0.165166,-0.076819,-0.023374,-0.048449,0.007217,0.006364,0.04081,0.011609,0.038467,0.027249,-0.000839,-0.015618,-0.021386,-0.014407,-0.042605,-0.042264,-0.008353,-5.532067,0.035082,0.066193,-1.604233,-0.449367,-5.405684,-1.52754,-0.423083,-0.111899,0.119618,-1.497174,-4.62015,0.215737,-0.035662,-0.152525,0.13557,0.199548,0.049986,-0.202621,0.293232,0.311874,-0.210481,0.294941,0.003761,0.011097,0.051892,0.094112,0.043512,0.009247,-0.135414,0.005115,-1.376867,-0.120593,0.008769,-0.015843,0.017418,0.002091,-0.035409,-0.035409,0.001213,0.003329,0.002467,0.002459,-0.00146,0.087521,0.012887,-1.624475,0.002768,-1.857795,-0.349864
-0.342277,-0.223285,0.087188,0.719284,1.510026,0.359834,-0.049712,0.138187,0.467349,-0.002068,1.493736,-0.001346,-0.015279,0.737636,0.440962,0.942084,-0.174867,0.525221,0.184227,0.357289,0.780533,-1.135782,0.44923,0.204879,0.413647,-1.112021,-0.284314,-1.550555,0.474418,0.699049,0.685483,0.607885,0.211773,0.538597,0.0434,-0.969438,0.258209,0.676138,0.224765,-1.03126,0.250888,0.352991,0.050648,0.048894,0.922652,0.304459,0.669683,0.669055,0.073661,0.067478,-0.025966,-0.0265,-0.006104,-0.05003,-0.013215,-0.028596,0.307444,-0.007812,0.04629,0.021759,-0.026388,0.38417,-0.027867,-0.164537,-0.413025,-2.260725,-0.454861,-0.720793,-1.079407,-1.07094,-1.819176,-1.957228,-1.636412,-2.418199,-1.915011,-1.141379,-1.454553,-1.076851,-0.720343,-0.640671,-0.312468,-1.12672,-0.708942,-0.792221,-0.521814,-0.654752,-0.063637,-0.092688,-0.089439,-0.072122,0.00499,0.055284,-0.184554,-0.010625,-1.875337,-0.222461,-0.026697,-0.118894,-0.105575,-0.015216,0.00209,0.002083,0.013176,-0.012539,-0.015158,-0.015207,0.004229,-0.243027,-0.098104,-2.232726,-0.644411,-3.283966,-1.339115
-0.858902,-0.511652,-0.170163,1.732753,-0.591573,0.155242,1.009337,-0.201243,-0.535219,-0.012378,-1.718425,-0.019277,-0.028675,0.260303,0.045982,-0.254796,0.777744,0.235299,0.746521,0.385917,0.346062,1.880191,-0.20054,0.147514,0.317902,1.51333,0.449714,1.159474,0.041107,0.472397,0.522737,0.465172,0.193301,0.43109,0.155414,0.841181,0.204935,0.479944,0.535975,2.648997,0.190237,0.017873,0.115757,0.431881,0.452305,0.045095,0.390526,0.050977,0.081466,-0.152569,0.044798,0.046649,0.043634,0.081705,0.040302,0.053543,0.247816,-0.008685,0.066701,0.04965,-0.005653,0.28488,0.017957,0.111189,-0.224697,1.588985,-0.53574,-0.63749,-0.984147,-1.315384,-0.83978,-0.18226,-0.350497,-0.160337,-2.036806,0.692506,0.169284,0.459446,0.703448,-0.012082,-0.014891,0.681572,0.02892,0.176315,0.016996,0.027186,0.127422,0.148355,0.163949,-0.358531,-0.236385,-0.159433,0.187135,0.025929,1.530338,0.226492,0.019316,0.174131,0.167661,0.02927,-0.022591,-0.022604,-0.028659,0.02358,0.024312,0.024328,0.030341,0.148643,0.185009,1.428369,0.520051,0.253342,1.007525
0.007984,0.014391,0.00909,0.003271,0.009004,0.002835,0.002673,0.002747,0.00255,0.002283,0.00206,0.002033,0.00206,0.002862,0.002306,-0.003407,0.008412,-0.004176,0.001907,0.002294,0.001195,-0.005131,-0.011699,-0.006188,-0.0136,-0.013596,-0.006538,-0.012457,-0.013189,-0.006481,-0.007416,-0.007186,-0.007699,-0.001314,-0.006622,-0.001093,-0.00065,-7e-05,-0.000322,-0.000581,-0.000689,-0.002138,-0.001838,0.004457,0.005632,-0.000373,-0.000698,-0.001449,-0.001127,-0.0007,-0.001291,-0.001265,0.005577,-0.000824,0.011665,0.012599,0.012779,0.006827,0.006787,0.000677,0.000199,0.000501,-0.000154,0.000377,-0.006059,-8e-06,0.000533,7.7e-05,0.006181,0.00106,0.001132,0.008294,0.009104,0.008832,0.008665,0.002283,0.000777,0.000411,-0.005634,-0.012426,-0.006523,-0.005482,-0.011537,0.000334,-0.005597,-0.005456,0.001275,0.001816,0.009097,0.009822,0.00449,0.004681,-0.000808,0.004425,0.003252,-0.00359,-0.007376,-0.013343,-0.013471,-0.020187,-0.019926,-0.01449,-0.010755,-0.006787,-0.001327,0.004204,-0.000466,-0.000278,0.005761,0.005511,-0.0009,-0.001273,-0.001714
0.010778,0.010208,0.014057,0.012882,0.006966,0.004711,0.00427,0.007974,0.007408,0.006622,0.005967,0.005894,0.005964,0.008261,0.003201,0.005397,-0.001224,-0.000291,-0.001341,-0.000197,-0.006832,-0.003083,-0.003485,-0.002687,-0.008887,-0.008838,-0.003635,-0.002052,-0.007541,-0.003413,-0.009426,-0.008743,-0.013522,-0.013919,-0.007079,-0.009867,-0.005207,-0.00015,-0.000875,-0.001556,-0.001882,-0.00929,-0.008481,-0.009225,-0.006035,-0.004374,-0.005369,-0.010905,-0.010014,-0.005372,-0.006984,-0.006926,-0.002799,-0.005737,-0.007535,-0.00519,-0.004676,-0.002845,-0.002937,0.002217,0.000572,0.001426,-0.00394,0.001084,0.001495,-2.4e-05,0.005005,0.000218,-0.001143,0.00299,0.00319,0.008367,0.0142,0.013453,0.009568,0.01001,0.002135,0.001159,0.002479,-0.001824,-0.003537,0.002914,0.004176,0.000929,0.002557,0.002948,0.003559,0.005072,0.007305,0.009437,0.012717,0.013406,0.0125,0.009188,0.005858,0.004518,0.011778,0.012642,0.015613,0.014339,0.014804,0.012239,0.008532,0.002184,-0.000157,-0.005727,-0.001257,-0.000747,-0.001574,-0.002238,-0.002418,-0.00342,-0.004603
-0.008677,-0.00904,-0.006633,0.000293,0.004242,0.010473,0.010165,0.004795,0.004437,0.003948,0.003537,0.003484,0.003512,0.004834,0.009313,0.010645,0.014061,0.014737,0.014037,0.014659,0.018302,0.013135,0.013025,0.005999,0.010061,0.010094,0.005492,0.006484,0.010835,0.005625,0.009702,0.010096,0.014868,0.014573,0.011048,0.009416,0.004564,-8.1e-05,-0.000481,-0.000854,-0.001041,0.002299,0.002746,0.002225,0.004008,0.005027,0.00449,0.008904,0.009412,0.004509,0.003614,0.003644,-0.001671,0.004308,0.003015,0.004408,0.004695,0.005818,0.005764,0.001098,0.000314,0.000791,0.005333,0.000602,0.000944,-1.1e-05,-0.004739,0.000124,-0.000745,0.001645,0.001751,-0.00302,-0.007309,-0.007716,-0.002388,-0.002024,0.001143,0.00062,0.001467,0.006705,0.00565,0.001711,0.002524,0.000508,0.001519,0.001724,0.001906,0.002708,0.003726,0.004804,0.006613,0.006892,0.013839,0.011878,0.010171,0.009663,0.013411,0.013958,0.008222,0.007789,0.007983,0.006523,-0.002588,-0.005834,-0.007189,-0.002956,-0.0006,-0.000357,-0.000977,-0.001296,-0.001159,-0.001642,-0.002218
0.070037,-1.807547,0.004854,0.034044,0.369047,-0.034979,-0.032464,0.000995,-0.19809,-0.044892,-0.016843,0.010383,-0.005117,-0.060593,-0.331341,-0.101806,-0.060395,-0.07264,0.533472,1.743656,1.531504,-0.400215,1.494906,-0.014978,-0.014974,-0.067483,-0.035992,-0.02312,-0.372797,-0.289157,-0.297855,-0.322206,3.544142,-0.066224,3.328139,0.169402,-0.301743,3.679543,0.10898,3.924533,-0.083566,-0.175093,-0.078196,-0.231712,-0.12422,4.498937,-0.077818,0.25159,-0.078774,-0.028879,-0.032173,0.281883,1.489703,-0.024242,4.895705,-0.186013,0.008674,-0.070643,-0.072003,5.07236,-0.000699,0.123039,-0.116712,-0.001229,0.001335,0.102934,0.037079,-0.004399,-0.001134,0.001396,0.003633,0.18835,-0.215117,0.003431,0.081942,0.106244,-1.115407,0.180596,0.260594,0.224417,0.180912,0.140531,0.11705,0.152356,0.09912,0.193949,0.098365,-0.021744,-0.005139,0.00069,0.00839,-3.477253,-0.030918,-0.030122,-0.031515,-0.039297,0.223917,1.814232,-0.000312,0.069836,0.00042,0.132552,0.025768,0.032799,0.033958,-0.300794,-0.002315,-0.000345,-0.140482,-0.295769,-0.000326,-0.000463,0.061101
